species,sexmorphs,flowersex,symmetry,pollination,habit,lifespan,flowersize,ovaryposition,numberofovules,numberofstamens,outcrossingrate,poratio,matingsystem,,,,,,,,,,,,
Achatocarpus praecox,di,unisexual,actinomorphic,NA,woody,long,NA,superior,2,16,NA,NA,outcrossing,,,,,,,,,,,,
Acorus calamus,mono,bisexual,zygomorphic,biotic,herb,long,0.4,superior,15,6,NA,NA,NA,,,,,,,,,,,,
Actinidia chinensis,di,unisexual,actinomorphic,NA,woody,long,5.2,superior,435,155,NA,NA,outcrossing,,,,,,,,,,,,
Aerva javanica,di,unisexual,NA,NA,NA,long,NA,superior,3,5,NA,NA,outcrossing,,,,,,,,,,,,
Aextoxicon punctatum,di,unisexual,actinomorphic,NA,woody,long,0.8,superior,2,6,NA,NA,outcrossing,,,,,,,,,,,,
Agalinis neoscotica,mono,bisexual,zygomorphic,NA,herb,short,1.2,superior,NA,4,NA,99,NA,,,,,,,,,,,,
Ailanthus altissima,di,unisexual,actinomorphic,biotic,woody,long,NA,superior,NA,10,NA,NA,outcrossing,,,,,,,,,,,,
Ajuga reptans,di,polymorphic,zygomorphic,biotic,herb,long,1.3,superior,NA,4,NA,661.5,NA,,,,,,,,,,,,
Akebia quinata,mono,unisexual,actinomorphic,biotic,woody,long,1.1,superior,900,6,0.92,NA,outcrossing,,,,,,,,,,,,
Albizia julibrissin,mono,polymorphic,actinomorphic,biotic,woody,long,0.8,superior,15,25,0.98,2826,outcrossing,,,,,,,,,,,,
Alepis flavida,mono,bisexual,NA,NA,woody,long,1.5,inferior,NA,6,NA,NA,NA,,,,,,,,,,,,
Allanblackia floribunda,mono,unisexual,NA,biotic,woody,long,5,superior,NA,NA,NA,NA,NA,,,,,,,,,,,,
Allium sativum,mono,polymorphic,NA,NA,herb,long,NA,superior,NA,6,NA,NA,NA,,,,,,,,,,,,
Alluaudia procera,di,unisexual,NA,NA,woody,long,NA,superior,3,8,NA,NA,outcrossing,,,,,,,,,,,,
Alnus alnobetula,mono,unisexual,NA,abiotic,woody,long,NA,inferior,6,4,0.95,NA,outcrossing,,,,,,,,,,,,
Aloe thraskii,mono,unisexual,NA,biotic,woody,long,2.4,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
Alphitonia excelsa,mono,bisexual,NA,NA,woody,long,1,inferior,NA,5,NA,NA,NA,,,,,,,,,,,,
Alstroemeria aurea,mono,bisexual,zygomorphic,biotic,herb,long,5,inferior,66,6,0.31,4500,intermediate,,,,,,,,,,,,
Alyssum simplex,mono,bisexual,actinomorphic,biotic,herb,short,0.3,superior,4,6,NA,NA,selfing,,,,,,,,,,,,
Amborella trichopoda,di,unisexual,actinomorphic,NA,woody,long,0.4,superior,6,17,NA,NA,outcrossing,,,,,,,,,,,,
Amsonia tabernaemontana,mono,bisexual,actinomorphic,biotic,herb,long,1.9,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Anarthria polyphylla,di,unisexual,actinomorphic,NA,herb,long,NA,superior,3,3,NA,NA,outcrossing,,,,,,,,,,,,
Angelonia pubescens,mono,bisexual,zygomorphic,biotic,herb,short,NA,superior,NA,4,NA,NA,selfing,,,,,,,,,,,,
Anigozanthos humilis,mono,unisexual,NA,biotic,herb,long,3.8,NA,NA,6,NA,NA,outcrossing,,,,,,,,,,,,
Annona crassiflora,mono,bisexual,actinomorphic,biotic,woody,long,3.3,superior,NA,NA,NA,NA,NA,,,,,,,,,,,,
Antirrhinum majus,mono,bisexual,zygomorphic,biotic,herb,long,3.6,superior,9999,4,NA,NA,outcrossing,,,,,,,,,,,,
Apium graveolens,mono,bisexual,actinomorphic,biotic,herb,short,0.2,inferior,2,5,0.55,NA,intermediate,,,,,,,,,,,,
Aquilegia canadensis,mono,bisexual,actinomorphic,biotic,herb,long,3,superior,375,38,0.26,597.5,intermediate,,,,,,,,,,,,
Arabidopsis thaliana,mono,bisexual,NA,biotic,herb,short,0.3,superior,110,6,0.02,33,selfing,,,,,,,,,,,,
Aralidium pinnatifidum,di,unisexual,actinomorphic,NA,woody,long,0.3,inferior,3,5,NA,NA,outcrossing,,,,,,,,,,,,
Arctostaphylos uvaursi,mono,bisexual,actinomorphic,biotic,woody,long,0.2,superior,5,10,NA,NA,NA,,,,,,,,,,,,
Arum maculatum,mono,unisexual,NA,biotic,herb,long,NA,superior,NA,4,0,4596,selfing,,,,,,,,,,,,
