"order","family","genus","n","n_dio","diff."
"Alismatales","Alismataceae","Burnatia",1,1,0
"Alismatales","Alismataceae","Sagittaria",20,1,19
"Alismatales","Aponogetonaceae","Aponogeton",44,1,43
"Alismatales","Cymodoceaceae","Amphibolis",2,2,0
"Alismatales","Cymodoceaceae","Cymodocea",4,4,0
"Alismatales","Cymodoceaceae","Halodule",6,6,0
"Alismatales","Cymodoceaceae","Syringodium",2,2,0
"Alismatales","Cymodoceaceae","Thalassodendron",2,2,0
"Alismatales","Hydrocharitaceae","Appertiella",1,1,0
"Alismatales","Hydrocharitaceae","Blyxa",12,2,10
"Alismatales","Hydrocharitaceae","Elodea",12,12,0
"Alismatales","Hydrocharitaceae","Ottelia",30,30,0
"Alismatales","Hydrocharitaceae","Lagarosiphon",9,9,0
"Alismatales","Hydrocharitaceae","Stratiotes",1,1,0
"Alismatales","Hydrocharitaceae","Hydrocharis",2,2,0
"Alismatales","Hydrocharitaceae","Hydromystria",1,1,0
"Alismatales","Hydrocharitaceae","Maidenia",1,1,0
"Alismatales","Hydrocharitaceae","Najas",35,1,34
"Alismatales","Hydrocharitaceae","Thalassia",2,2,0
"Alismatales","Hydrocharitaceae","Enhalus",1,1,0
"Alismatales","Hydrocharitaceae","Halophila",9,5,4
"Alismatales","Hydrocharitaceae","Nechamandra",1,1,0
"Alismatales","Hydrocharitaceae","Hydrilla",1,1,0
"Alismatales","Hydrocharitaceae","Vallisneria",5,5,0
"Alismatales","Juncaginaceae","Tetroncium",1,1,0
"Alismatales","Potamogetonaceae","Lepilaena",4,4,0
"Alismatales","Zosteraceae","Phyllospadix",5,3,2
"Apiales","Apiaceae","Aciphylla",39,16,23
"Apiales","Apiaceae","Anisotome",13,13,0
"Apiales","Apiaceae","Arctopus",3,3,0
"Apiales","Apiaceae","Ledebouriella",2,2,0
"Apiales","Apiaceae","Mulinum",20,1,19
"Apiales","Apiaceae","Trinia",11,11,0
"Apiales","Araliaceae","Aralia",36,20,16
"Apiales","Araliaceae","Dendropanax",30,10,20
"Apiales","Araliaceae","Meryta",25,25,0
"Apiales","Araliaceae","Oreopanax",80,10,70
"Apiales","Araliaceae","Polyscias",24,14,10
"Apiales","Griseliniaceae","Griselinia",7,7,0
"Apiales","Pittosporaceae","Pittosporum",200,1,199
"Apiales","Torricelliaceae","Aralidium",1,1,0
"Apiales","Torricelliaceae","Toricellia",2,2,0
"Apiales","Pennantiaceae","Pennantia",3,3,0
"Aquifoliales","Aquifoliaceae","Ilex",405,300,105
"Aquifoliales","Helwingiaceae","Helwingia",3,3,0
"Arecales","Arecaceae","Aphandra",1,1,0
"Arecales","Arecaceae","Pseudophoenix",4,1,3
"Arecales","Arecaceae","Ravenea",9,9,0
"Arecales","Arecaceae","Phytelephas",12,12,0
"Arecales","Arecaceae","Ceroxylon",15,15,0
"Arecales","Arecaceae","Juania",1,1,0
"Arecales","Arecaceae","Borassus",7,7,0
"Arecales","Arecaceae","Lodoicea",1,1,0
"Arecales","Arecaceae","Latania",3,3,0
"Arecales","Arecaceae","Medemia",1,1,0
"Arecales","Arecaceae","Hyphaene",9,9,0
"Arecales","Arecaceae","Calamus",370,370,0
"Arecales","Arecaceae","Calospatha",1,1,0
"Arecales","Arecaceae","Ceratolobus",6,6,0
"Arecales","Arecaceae","Daemonorops",114,114,0
"Arecales","Arecaceae","Plectocomia",16,16,0
"Arecales","Arecaceae","Plectocomiopsis",5,5,0
"Arecales","Arecaceae","Mauritia",2,2,0
"Arecales","Arecaceae","Lepidocaryum",9,9,0
"Arecales","Arecaceae","Korthalsia",26,26,0
"Arecales","Arecaceae","Chamaedorea",110,110,0
"Arecales","Arecaceae","Chamaerops",1,1,0
"Arecales","Arecaceae","Drymophloeus",15,2,13
"Arecales","Arecaceae","Orbignya",20,1,19
"Arecales","Arecaceae","Phoenix",17,17,0
"Arecales","Arecaceae","Pholidocarpus",5,5,0
"Arecales","Arecaceae","Rhapidophyllum",1,1,0
"Arecales","Arecaceae","Rhapis",12,10,2
"Arecales","Arecaceae","Salacca",15,15,0
"Arecales","Arecaceae","Trachycarpus",4,4,0
"Arecales","Arecaceae","Wendlandiella",3,3,0
"Asparagales","Asparagaceae","Asparagus",50,1,49
"Asparagales","Asteliaceae","Astelia",25,25,0
"Asparagales","Asteliaceae","Collospermum",5,5,0
"Asparagales","Laxmanniaceae","Lomandra",35,35,0
"Asparagales","Nolinaceae",,49,49,0
"Asparagales","Nolinaceae","Beaucarnea",10,10,0
"Asparagales","Nolinaceae","Calibanus",1,1,0
"Asparagales","Nolinaceae","Dasylirion",15,15,0
"Asparagales","Nolinaceae","Nolina",23,23,0
