NDat,NTaxDat,NChrDat,NRefDat,NCstDat,ValDat,MinDat,MaxDat,NotesDat,NDacDat,NRankDat,NDqsDat,NUsrcrDat,DcrDat,NUsrupDat,DupDat,DeleteDat,NUsrdelDat,DdelDat,PseudoDat,HistoryDat
62,Acorus calamus,100. Floral structural sex (D1),Flora of North America 2010 (website),100. Floral structural sex (D1): (0) bisexual,,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of North America 2010, Hervé Sauquet, 21/07/2010]"
63,Acorus calamus,102. Ovary position (D1),Flora of North America 2010 (website),102. Ovary position (D1): (0) superior,,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 102. Ovary position (D1): (0) superior [Flora of North America 2010, Hervé Sauquet, 21/07/2010]"
64,Acorus calamus,103. Flower length (C1),Flora of North America 2010 (website),,,0.3,0.4,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 103. Flower length (C1): 0.30-0.40 [Flora of North America 2010, Hervé Sauquet, 21/07/2010]"
71,Acorus calamus,301. Number of fertile stamens (C1),Flora of North America 2010 (website),,6,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 301. Number of fertile stamens (C1): 6 [Flora of North America 2010, Hervé Sauquet, 21/07/2010]"
77,Acorus calamus,311. Anther orientation (D1),Flora of North America 2010 (website),311. Anther orientation (D1): (0) introrse,,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 311. Anther orientation (D1): (0) introrse [Flora of North America 2010, Hervé Sauquet, 21/07/2010]"
79,Acorus calamus,401. Number of structural carpels (C1),Flora of North America 2010 (website),,3,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 401. Number of carpels (C1): 3 [Flora of North America 2010, Hervé Sauquet, 21/07/2010]"
81,Acorus calamus,403. Fusion of ovaries (C1),Flora of North America 2010 (website),,1,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 403. Fusion of ovaries (C1): 100% [Flora of North America 2010, Hervé Sauquet, 21/07/2010]"
87,Acorus calamus,100. Floral structural sex (D1),Buzgo & Endress 2000 (IJPS),100. Floral structural sex (D1): (0) bisexual,,,,,,,,Hervé Sauquet,21-Jul-10,Hervé Sauquet,26-Jan-11,0,,,0,"[As of 3/06/2014] Acorus calamus / 100. Sex (D1): (0) bisexual (structurally and functionally) [Buzgo & Endress 2000, Hervé Sauquet, 26/01/2011]"
88,Acorus calamus,102. Ovary position (D1),Buzgo & Endress 2000 (IJPS),102. Ovary position (D1): (0) superior,,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 102. Ovary position (D1): (0) superior [Buzgo & Endress 2000, Hervé Sauquet, 21/07/2010]"
93,Acorus calamus,207. Symmetry of perianth (D1),Buzgo & Endress 2000 (IJPS),207. Symmetry of perianth (D1): (2) zygomorphic,,,,,,,,Hervé Sauquet,21-Jul-10,Hervé Sauquet,09-Dec-15,0,,,0,"[As of 3/06/2014] Acorus calamus / 207. Symmetry of perianth (D1): (1) zygomorphic by abaxial elongation of outer whorl [Buzgo & Endress 2000, Hervé Sauquet, 21/07/2010]_x000D_[Updated by Hervé Sauquet on 9/12/2015] Acorus calamus / 207. Symmetry of perianth (D"
95,Acorus calamus,301. Number of fertile stamens (C1),Buzgo & Endress 2000 (IJPS),,6,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 301. Number of fertile stamens (C1): 6 [Buzgo & Endress 2000, Hervé Sauquet, 21/07/2010]"
102,Acorus calamus,311. Anther orientation (D1),Buzgo & Endress 2000 (IJPS),311. Anther orientation (D1): (0) introrse,,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 311. Anther orientation (D1): (0) introrse [Buzgo & Endress 2000, Hervé Sauquet, 21/07/2010]"
105,Acorus calamus,401. Number of structural carpels (C1),Buzgo & Endress 2000 (IJPS),,3,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 401. Number of carpels (C1): 3 [Buzgo & Endress 2000, Hervé Sauquet, 21/07/2010]"
107,Acorus calamus,403. Fusion of ovaries (C1),Buzgo & Endress 2000 (IJPS),,1,,,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 403. Fusion of ovaries (C1): 100% [Buzgo & Endress 2000, Hervé Sauquet, 21/07/2010]"
111,Acorus calamus,411. Number of ovules per functional carpel (C1),Buzgo & Endress 2000 (IJPS),,,3,6,,,,,Hervé Sauquet,21-Jul-10,,,0,,,0,"[As of 3/06/2014] Acorus calamus / 411. Number of ovules per carpel (C1): 3-6 [Buzgo & Endress 2000, Hervé Sauquet, 21/07/2010]"
178,Aextoxicon punctatum,100. Floral structural sex (D1),Ronse de Craene & Stuppy 2010 (IJPS),100. Floral structural sex (D1): (1) incompletely unisexual,,,,,,,,Hervé Sauquet,26-Jul-10,Hervé Sauquet,07-Jan-20,0,,,0,"[As of 3/06/2014] Aextoxicon punctatum / 100. Sex (D1): (3) functionally unisexual dioecious, structurally bisexual [Ronse de Craene & Stuppy 2010, Hervé Sauquet, 26/07/2010]_x000D_[Automatically rescored by Hervé Sauquet on 7/01/2020] Aextoxicon punctatum / 10"
179,Aextoxicon punctatum,102. Ovary position (D1),Ronse de Craene & Stuppy 2010 (IJPS),102. Ovary position (D1): (0) superior,,,,,,,,Hervé Sauquet,26-Jul-10,,,0,,,0,"[As of 3/06/2014] Aextoxicon punctatum / 102. Ovary position (D1): (0) superior [Ronse de Craene & Stuppy 2010, Hervé Sauquet, 26/07/2010]"
189,Aextoxicon punctatum,301. Number of fertile stamens (C1),Ronse de Craene & Stuppy 2010 (IJPS),,,5,6,,,,,Hervé Sauquet,26-Jul-10,,,0,,,0,"[As of 3/06/2014] Aextoxicon punctatum / 301. Number of fertile stamens (C1): 5-6 [Ronse de Craene & Stuppy 2010, Hervé Sauquet, 26/07/2010]"
197,Aextoxicon punctatum,311. Anther orientation (D1),Ronse de Craene & Stuppy 2010 (IJPS),311. Anther orientation (D1): (0) introrse,,,,,,,,Hervé Sauquet,26-Jul-10,,,0,,,0,"[As of 3/06/2014] Aextoxicon punctatum / 311. Anther orientation (D1): (0) introrse [Ronse de Craene & Stuppy 2010, Hervé Sauquet, 26/07/2010]"
198,Aextoxicon punctatum,401. Number of structural carpels (C1),Ronse de Craene & Stuppy 2010 (IJPS),,1,,,,,,,Hervé Sauquet,26-Jul-10,,,0,,,0,"[As of 3/06/2014] Aextoxicon punctatum / 401. Number of carpels (C1): 1 [Ronse de Craene & Stuppy 2010, Hervé Sauquet, 26/07/2010]"
199,Aextoxicon punctatum,411. Number of ovules per functional carpel (C1),Ronse de Craene & Stuppy 2010 (IJPS),,2,,,,,,,Hervé Sauquet,26-Jul-10,,,0,,,0,"[As of 3/06/2014] Aextoxicon punctatum / 411. Number of ovules per carpel (C1): 2 [Ronse de Craene & Stuppy 2010, Hervé Sauquet, 26/07/2010]"
226,Bretschneidera sinensis,100. Floral structural sex (D1),Flora of China 2010 (website),100. Floral structural sex (D1): (0) bisexual,,,,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 100. Sex (D1): (0) bisexual (structurally and functionally) [Flora of China 2010, Hervé Sauquet, 27/07/2010]"
228,Bretschneidera sinensis,102. Ovary position (D1),Flora of China 2010 (website),102. Ovary position (D1): (0) superior,,,,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 102. Ovary position (D1): (0) superior [Flora of China 2010, Hervé Sauquet, 27/07/2010]"
229,Bretschneidera sinensis,104. Flower diameter (C1),Flora of China 2010 (website),,,3,5,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 104. Flower diameter (C1): 3.0-5.0 [Flora of China 2010, Hervé Sauquet, 27/07/2010]"
241,Bretschneidera sinensis,301. Number of fertile stamens (C1),Flora of China 2010 (website),,8,,,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 301. Number of fertile stamens (C1): 8 [Flora of China 2010, Hervé Sauquet, 27/07/2010]"
242,Bretschneidera sinensis,301. Number of fertile stamens (C1),Ronse de Craene et al 2002 (BJLS),,8,,,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 301. Number of fertile stamens (C1): 8 [Ronse de Craene et al 2002, Hervé Sauquet, 27/07/2010]"
247,Bretschneidera sinensis,311. Anther orientation (D1),Ronse de Craene et al 2002 (BJLS),311. Anther orientation (D1): (1) latrorse,,,,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 311. Anther orientation (D1): (1) latrorse [Ronse de Craene et al 2002, Hervé Sauquet, 27/07/2010]"
249,Bretschneidera sinensis,313. Anther dehiscence (D1),Ronse de Craene et al 2002 (BJLS),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 313. Anther dehiscence (D1): (0) longitudinal [Ronse de Craene et al 2002, Hervé Sauquet, 27/07/2010]"
251,Bretschneidera sinensis,401. Number of structural carpels (C1),Ronse de Craene et al 2002 (BJLS),,3,2,5,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 401. Number of carpels (C1): 2-5 [Ronse de Craene et al 2002, Hervé Sauquet, 27/07/2010]"
253,Bretschneidera sinensis,403. Fusion of ovaries (C1),Ronse de Craene et al 2002 (BJLS),,1,,,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 403. Fusion of ovaries (C1): 100% [Ronse de Craene et al 2002, Hervé Sauquet, 27/07/2010]"
258,Bretschneidera sinensis,411. Number of ovules per functional carpel (C1),Flora of China 2010 (website),,2,,,,,,,Hervé Sauquet,27-Jul-10,,,0,,,0,"[As of 3/06/2014] Bretschneidera sinensis / 411. Number of ovules per carpel (C1): 2 [Flora of China 2010, Hervé Sauquet, 27/07/2010]"
403,Amborella trichopoda,100. Floral structural sex (D1),Endress & Igersheim 2000b (IJPS),100. Floral structural sex (D1): (2) unisexual,,,,,,,,Hervé Sauquet,01-Sep-10,Hervé Sauquet,07-Jan-20,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 100. Sex (D1): (4) functionally unisexual dioecious, structurally androdioecious [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010]_x000D_[Automatically rescored by Hervé Sauquet on 7/01/2020] Amborella trichopoda / 1"
404,Amborella trichopoda,102. Ovary position (D1),Endress & Igersheim 2000b (IJPS),102. Ovary position (D1): (0) superior,,,,,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 102. Ovary position (D1): (0) superior [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010]"
405,Amborella trichopoda,104. Flower diameter (C1),Endress & Igersheim 2000b (IJPS),,,0.4,0.5,male flowers,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 104. Flower diameter (C1): 0.4-0.5 [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010] {male flowers}"
406,Amborella trichopoda,104. Flower diameter (C1),Endress & Igersheim 2000b (IJPS),,,0.3,0.4,female flowers,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 104. Flower diameter (C1): 0.3-0.4 [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010] {female flowers}"
411,Amborella trichopoda,207. Symmetry of perianth (D1),Endress & Igersheim 2000b (IJPS),207. Symmetry of perianth (D1): (1) actinomorphic spiral,,,,,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 207. Symmetry of perianth (D1): (3) actinomorphic spiral [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010]"
414,Amborella trichopoda,301. Number of fertile stamens (C1),Endress & Igersheim 2000b (IJPS),,,12,21,,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 301. Number of fertile stamens (C1): 12-21 [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010]"
421,Amborella trichopoda,311. Anther orientation (D1),Endress & Igersheim 2000b (IJPS),311. Anther orientation (D1): (0) introrse,,,,,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 311. Anther orientation (D1): (0) introrse [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010]"
423,Amborella trichopoda,313. Anther dehiscence (D1),Endress & Igersheim 2000b (IJPS),313. Anther dehiscence (D1): (0) longitudinal slit,,,,,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 313. Anther dehiscence (D1): (0) longitudinal [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010]"
425,Amborella trichopoda,401. Number of structural carpels (C1),Endress & Igersheim 2000b (IJPS),,5,,,,,,,Hervé Sauquet,01-Sep-10,,,0,,,0,"[As of 3/06/2014] Amborella trichopoda / 401. Number of carpels (C1): 5 [Endress & Igersheim 2000b, Hervé Sauquet, 1/09/2010]"
