Genus,Species,Seed_weight,References
Abolboda,pulchella,,
Achatocarpus,praecox,,
Acorus,calamus,3.72,Seed_Information_Database(https://ser-sid.org)
Actinidia,chinensis,1.6,Seed_Information_Database(https://ser-sid.org)
Aerva,javanica,0.29,Seed_Information_Database(https://ser-sid.org)
Aextoxicon,punctatum,325.25,Seed_Information_Database(https://ser-sid.org)
Agalinis,neoscotica,,
Ailanthus,altissima,29.25,Seed_Information_Database(https://ser-sid.org)
Ainsliaea,cordifolia,,
Ajuga,reptans,1.37,Seed_Information_Database(https://ser-sid.org)
Akebia,quinata,20.5,Seed_Information_Database(https://ser-sid.org)
Albizia,julibrissin,37.37,Seed_Information_Database(https://ser-sid.org)
Alepis,flavida,,
Allanblackia,floribunda,,
Allium,sativum,,
Allium,schoenoprasum,0.99,Seed_Information_Database(https://ser-sid.org)
Allocasuarina,verticillata,4,Seed_Information_Database(https://ser-sid.org)
Alluaudia,procera,2.22,Seed_Information_Database(https://ser-sid.org)
Alnus,alnobetula,0.51,Seed_Information_Database(https://ser-sid.org)
Aloe,thraskii,,
Alphitonia,excelsa,22.06,Seed_Information_Database(https://ser-sid.org)
Alseuosmia,macrophylla,4.1,Seed_Information_Database(https://ser-sid.org)
Alstroemeria,aurea,18.91,Seed_Information_Database(https://ser-sid.org)
Alyssum,simplex,0.83,Seed_Information_Database(https://ser-sid.org)
Amborella,trichopoda,3.67,Seed_Information_Database(https://ser-sid.org)
Amsonia,tabernaemontana,84.21,Seed_Information_Database(https://ser-sid.org)
Anarthria,polyphylla,,
Angelonia,pubescens,,
Anigozanthos,humilis,0.52,Seed_Information_Database(https://ser-sid.org)
Annona,crassiflora,5936.27,"Palermo AC, Souza AM de. 2019. MORPHOMETRIC ANALYSIS OF FRUITS AND SEEDS OF Annona crassiflora Mart. (ANNONACEAE) FROM CENTRAL BRAZIL. Revista Árvore 43: e430304."
Antirrhinum,majus,0.12,Seed_Information_Database(https://ser-sid.org)
Apium,graveolens,0.34,Seed_Information_Database(https://ser-sid.org)
Aquilegia,canadensis,1.16,Seed_Information_Database(https://ser-sid.org)
Arabidopsis,thaliana,0.02,Seed_Information_Database(https://ser-sid.org)
Aralidium,pinnatifidum,,
Arctostaphylos,uvaursi,18.49,Seed_Information_Database(https://ser-sid.org)
Arum,maculatum,101.73,Seed_Information_Database(https://ser-sid.org)
Asparagus,officinalis,22.1,Seed_Information_Database(https://ser-sid.org)
Astelia,alpina,1.15,Seed_Information_Database(https://ser-sid.org)
Audouinia,capitata,,
Avicennia,marina,3400,Seed_Information_Database(https://ser-sid.org)
Azima,tetracantha,34.8,Seed_Information_Database(https://ser-sid.org)
Bagassa,guianensis,,
Balanophora,laxiflora,,
Balanops,pancheri,,
Bdallophytum,americanum,,
Begonia,heracleifolia,0.0072,Seed_Information_Database(https://ser-sid.org)
Bergeranthus,multiceps,,
Berteroa,incana,0.49,Seed_Information_Database(https://ser-sid.org)
Bertholletia,excelsa,6500,Seed_Information_Database(https://ser-sid.org)
Beta,vulgaris,16.5,Seed_Information_Database(https://ser-sid.org)
Bixa,orellana,25.08,Seed_Information_Database(https://ser-sid.org)
Borago,officinalis,16.1,Seed_Information_Database(https://ser-sid.org)
Brasenia,schreberi,6.78,Seed_Information_Database(https://ser-sid.org)
Bretschneidera,sinensis,,
Bruguiera,gymnorhiza,22380,Seed_Information_Database(https://ser-sid.org)
Buddleja,davidii,0.1,Seed_Information_Database(https://ser-sid.org)
Bursera,simaruba,117.35,Seed_Information_Database(https://ser-sid.org)
Butomus,umbellatus,0.18,Seed_Information_Database(https://ser-sid.org)
Buxus,balearica,7.45,Seed_Information_Database(https://ser-sid.org)
Byrsonima,crassifolia,2.94,Seed_Information_Database(https://ser-sid.org)
Cabomba,caroliniana,1.14,Seed_Information_Database(https://ser-sid.org)
Calceolaria,purpurea,0.01,Seed_Information_Database(https://ser-sid.org)
Camellia,sinensis,1405.19,Seed_Information_Database(https://ser-sid.org)
Canacomyrica,monticola,,
Canna,indica,155.15,Seed_Information_Database(https://ser-sid.org)
Cannabis,sativa,18.25,Seed_Information_Database(https://ser-sid.org)
Capparis,zeylanica,,
Cardiocrinum,cordatum,3.55,Seed_Information_Database(https://ser-sid.org)
Carex,laxiflora,,
Carica,papaya,22.62,Seed_Information_Database(https://ser-sid.org)
Caryocar,brasiliense,,
Catalpa,speciosa,18.83,Seed_Information_Database(https://ser-sid.org)
Catharanthus,roseus,1.43,Seed_Information_Database(https://ser-sid.org)
Caulophyllum,thalictroides,198.63,Seed_Information_Database(https://ser-sid.org)
Centroplacus,glaucinus,,
Ceratophyllum,demersum,,
Cercidiphyllum,japonicum,0.55,Seed_Information_Database(https://ser-sid.org)
Chimaphila,umbellata,0.002,Seed_Information_Database(https://ser-sid.org)
Chimonanthus,praecox,109.6,Seed_Information_Database(https://ser-sid.org)
Chloranthus,spicatus,2.18,Seed_Information_Database(https://ser-sid.org)
Chorispora,tenella,1.2,Seed_Information_Database(https://ser-sid.org)
Cinnamomum,camphora,108.24,Seed_Information_Database(https://ser-sid.org)
Cirsium,pitcheri,,
Clarkia,xantiana,0.21,Seed_Information_Database(https://ser-sid.org)
Claytonia,virginica,1.22,Seed_Information_Database(https://ser-sid.org)
Cleistes,bifaria,,
Clethra,alnifolia,0.15,Seed_Information_Database(https://ser-sid.org)
Clutia,pulchella,3.08,Seed_Information_Database(https://ser-sid.org)
Cobaea,scandens,72.3,Seed_Information_Database(https://ser-sid.org)
Cochlospermum,vitifolium,27.94,Seed_Information_Database(https://ser-sid.org)
Coffea,arabica,188.32,Seed_Information_Database(https://ser-sid.org)
Combretum,leprosum,,
Commelina,communis,,
Cordyline,australis,3.91,Seed_Information_Database(https://ser-sid.org)
Coriaria,myrtifolia,9.9,Seed_Information_Database(https://ser-sid.org)
Coriaria,ruscifolia,0.53,Seed_Information_Database(https://ser-sid.org)
Cornus,florida,101.87,Seed_Information_Database(https://ser-sid.org)
Corokia,cotoneaster,26.33,Seed_Information_Database(https://ser-sid.org)
Corrigiola,litoralis,0.45,Seed_Information_Database(https://ser-sid.org)
Costus,woodsonii,,
Cucurbita,pepo,144.75,Seed_Information_Database(https://ser-sid.org)
Cupaniopsis,anacardioides,178.63,Seed_Information_Database(https://ser-sid.org)
Curculigo,latifolia,100,https://www.rarepalmseeds.com/curculigo-latifolia-var-megacarpa
Cuscuta,cuspidata,,
Cuttsia,viburnea,0.03,Seed_Information_Database(https://ser-sid.org)
Cyclanthus,bipartitus,,
Cymodocea,nodosa,,
Cypripedium,calceolus,0.003,Seed_Information_Database(https://ser-sid.org)
Cyrilla,racemiflora,,
Dalechampia,spathulata,,
Dalzellia,ceylanica,,
Daphniphyllum,macropodum,42.24,Seed_Information_Database(https://ser-sid.org)
Datisca,glomerata,0.07,Seed_Information_Database(https://ser-sid.org)
Davidsonia,jerseyana,206.29,Seed_Information_Database(https://ser-sid.org)
Davilla,kunthii,,
Denhamia,celastroides,,
Diapensia,lapponica,,
Diospyros,australis,130.16,Seed_Information_Database(https://ser-sid.org)
Dipterocarpus,tempehes,,
Discaria,americana,,
Drosophyllum,lusitanicum,3.72,Seed_Information_Database(https://ser-sid.org)
Dryas,octopetala,0.71,Seed_Information_Database(https://ser-sid.org)
Durio,zibethinus,18094.33,Seed_Information_Database(https://ser-sid.org)
Eichhornia,crassipes,,
Eriocaulon,parkeri,,
Eriogonum,arborescens,0.63,Seed_Information_Database(https://ser-sid.org)
Eryngium,alpinum,5.02,Seed_Information_Database(https://ser-sid.org)
Erythroxylum,laurifolium,,
Eschscholzia,californica,1.5,Seed_Information_Database(https://ser-sid.org)
Eucalyptus,cladocalyx,4.78,Seed_Information_Database(https://ser-sid.org)
Eupomatia,bennettii,,
Eupomatia,laurina,15.73,Seed_Information_Database(https://ser-sid.org)
Fagus,grandifolia,265.74,Seed_Information_Database(https://ser-sid.org)
Ficaria,verna,,
Filipendula,vulgaris,0.99,Seed_Information_Database(https://ser-sid.org)
Floerkea,proserpinacoides,3.64,Seed_Information_Database(https://ser-sid.org)
Fumana,ericoides,2.44,Seed_Information_Database(https://ser-sid.org)
Galium,aparine,9.05,Seed_Information_Database(https://ser-sid.org)
Gelsemium,sempervirens,,
Gentiana,saponaria,,
Geranium,sanguineum,8.87,Seed_Information_Database(https://ser-sid.org)
Gerbera,jamesonii,2.06,Seed_Information_Database(https://ser-sid.org)
Gesneria,cuneifolia,0.02,Seed_Information_Database(https://ser-sid.org)
Gomortega,keule,,
Gonocaryum,litorale,,
Gossypium,hirsutum,93.47,Seed_Information_Database(https://ser-sid.org)
Grewia,occidentalis,64.31,Seed_Information_Database(https://ser-sid.org)
Griselinia,racemosa,12.21,Seed_Information_Database(https://ser-sid.org)
Gyrocarpus,americanus,360.51,Seed_Information_Database(https://ser-sid.org)
Hamamelis,virginiana,108.32,Seed_Information_Database(https://ser-sid.org)
Hanguana,malayana,17,Seed_Information_Database(https://ser-sid.org)
Haumania,danckelmaniana,,
Hedychium,gardnerianum,,
Helianthus,annuus,38.81,Seed_Information_Database(https://ser-sid.org)
Heliconia,irrasa,,
Herniaria,glabra,0.11,Seed_Information_Database(https://ser-sid.org)
Hevea,brasiliensis,3809.45,Seed_Information_Database(https://ser-sid.org)
Hirtella,physophora,,
Hordeum,bulbosum,11.36,Seed_Information_Database(https://ser-sid.org)
Hydnocarpus,heterophylla,,
Hydrastis,canadensis,,
Hydrocotyle,vulgaris,0.5,Seed_Information_Database(https://ser-sid.org)
Hydrophyllum,capitatum,6.55,Seed_Information_Database(https://ser-sid.org)
Hypericum,perforatum,0.15,Seed_Information_Database(https://ser-sid.org)
Hypolytrum,pulchrum,,
Ilex,opaca,17.2,Seed_Information_Database(https://ser-sid.org)
Impatiens,capensis,7.03,Seed_Information_Database(https://ser-sid.org)
Ipomoea,alba,99.98,Seed_Information_Database(https://ser-sid.org)
Iris,versicolor,15.02,Seed_Information_Database(https://ser-sid.org)
Irvingbaileya,australis,220,Seed_Information_Database(https://ser-sid.org)
Juglans,mandshurica,9259,Seed_Information_Database(https://ser-sid.org)
Jumellea,fragrans,,
Juncus,effusus,0.02,Seed_Information_Database(https://ser-sid.org)
Kalanchoe,daigremontiana,0.02,Seed_Information_Database(https://ser-sid.org)
