,NDat,NTaxDat,NChrDat,NRefDat,NCstDat,Simple,ValDat,MinDat,MaxDat,NotesDat,NDacDat,NRankDat,NDqsDat,NUsrcrDat,DcrDat,NUsrupDat,DupDat,DeleteDat,NUsrdelDat,DdelDat,PseudoDat,HistoryDat
3154,280812,Ajuga reptans,4. Plant sexual system (D1),Bertin and Newman 1993 (BotRev),4. Plant sexual system (D1): (0) bisexual,bisexual,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,19-May-20,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 19/05/2020] Ajuga reptans / 4. Plant sexual system (D1): (0) bisexual [Bertin and Newman 1993, Sylvain Glémin, 19/05/2020]"
3744,282744,Ajuga reptans,4. Plant sexual system (D1),Godin & Akhmetgarieva 2019 (Bot Zhurn),4. Plant sexual system (D1): (4) gynodioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,3,Marcos Méndez Iglesias,29-May-20,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 29/05/2020] Ajuga reptans / 4. Plant sexual system (D1): (4) gynodioecious [Godin & Akhmetgarieva 2019, Marcos Méndez Iglesias, 29/05/2020]"
3752,283017,Ajuga reptans,4. Plant sexual system (D1),Lüönd & Lüönd 1981 (Candollea),4. Plant sexual system (D1): (4) gynodioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),,3,Marcos Méndez Iglesias,02-Jun-20,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 2/06/2020] Ajuga reptans / 4. Plant sexual system (D1): (4) gynodioecious [Lüönd & Lüönd 1981, Marcos Méndez Iglesias, 2/06/2020]"
6608,333893,Albizia julibrissin,4. Plant sexual system (D1),Wyatt & Lipow 2021 (JTorrBotSoc),4. Plant sexual system (D1): (5) andromonoecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,3,Marcos Méndez Iglesias,08-Jul-21,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 8/07/2021] Albizia julibrissin / 4. Plant sexual system (D1): (5) andromonoecious [Wyatt & Lipow 2021, Marcos Méndez Iglesias, 8/07/2021]"
7271,352793,Allium sativum,4. Plant sexual system (D1),Flora of North America 2021 (website),4. Plant sexual system (D1): (0) bisexual,bisexual,NA,NA,NA,{plant is bisexual but apomixy is the effective reproduction system},interpreted from the text,species,3,Johanne Cros,02-Nov-21,,,FALSE,NA,NA,FALSE,"[Created by Johanne Cros on 2/11/2021] Allium sativum / 4. Plant sexual system (D1): (0) bisexual [Flora of North America 2021, Johanne Cros, 2/11/2021] {{plant is bisexual but apomixy is the effective reproduction system}}"
2141,228402,Astelia alpina,4. Plant sexual system (D1),"Kocyan A, Endress PK 2001 (PlantSystEvol)",4. Plant sexual system (D1): (2) dioecious,dioecious,NA,NA,NA,,explicit from the text (described as such),species,3,Marybel Soto Gomez,19-Sep-18,Marybel Soto Gomez,19-Sep-18,FALSE,NA,NA,FALSE,"[Created by Marybel Soto Gomez on 19/09/2018] Astelia alpina / 4. Plant sexual system (D1): (2) dioecious [Birch 2015, Marybel Soto Gomez, 19/09/2018]
[Updated by Marybel Soto Gomez on 19/09/2018] Astelia alpina / 4. Plant sexual system (D1): (2) dioeciou"
2628,279189,Beta vulgaris,4. Plant sexual system (D1),Dufay et al 2008 (JEvolBiol),4. Plant sexual system (D1): (4) gynodioecious,bisexual,NA,NA,NA,applies to subsp. Maritima,explicit from the text (described as such),species,3,Jos Käfer,07-Apr-20,,,FALSE,NA,NA,FALSE,"[Created by Jos Käfer on 7/04/2020] Beta vulgaris / 4. Plant sexual system (D1): (4) gynodioecious [Dufay et al 2008, Jos Käfer, 7/04/2020] {applies to subsp. Maritima}"
2719,279410,Beta vulgaris,4. Plant sexual system (D1),Larsen 1977 (Hereditas),4. Plant sexual system (D1): (0) bisexual,bisexual,NA,NA,NA,,explicit from the text (described as such),species,3,Jos Käfer,09-Apr-20,,,FALSE,NA,NA,FALSE,"[Created by Jos Käfer on 9/04/2020] Beta vulgaris / 4. Plant sexual system (D1): (0) bisexual [Larsen 1977, Jos Käfer, 9/04/2020]"
7070,350812,Bursera simaruba,4. Plant sexual system (D1),World agroforestry 2021 (website),4. Plant sexual system (D1): (2) dioecious,dioecious,NA,NA,NA,http://apps.worldagroforestry.org/treedb/AFTPDFS/Bursera_simaruba.PDF,explicit from the text (described as such),species,3,Johanne Cros,25-Oct-21,,,FALSE,NA,NA,FALSE,"[Created by Johanne Cros on 25/10/2021] Bursera simaruba / 4. Plant sexual system (D1): (2) dioecious [World agroforestry 2021, Johanne Cros, 25/10/2021] {http://apps.worldagroforestry.org/treedb/AFTPDFS/Bursera_simaruba.PDF}"
7570,359145,Bursera simaruba,4. Plant sexual system (D1),Hulshof et al. 2012 (Ecology),4. Plant sexual system (D1): (2) dioecious,dioecious,NA,NA,NA,,explicit from the text (described as such),species,3,Marcos Méndez Iglesias,24-Nov-21,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 24/11/2021] Bursera simaruba / 4. Plant sexual system (D1): (2) dioecious [Hulshof et al. 2012, Marcos Méndez Iglesias, 24/11/2021]"
