"Genus","Species","SI_status"
"Brugmansia","x_candida","SI"
"Solanum","x_michoacanum","SI"
"Restrepia","aberrans","SC"
"Erica","abietina","PSI"
"Chamaecrista","absus","SC"
"Solanum","abutiloides","SC"
"Guizotia","abyssinica","PSI"
"Erucastrum","abyssinicum","SC"
"Carduus","acanthoides","SC"
"Cirsium","acaule","SC"
"Cypripedium","acaule","SC"
"Solanum","acaule","SC"
"Hymenoxys","acaulis","SI"
"Nicotiana","acaulis","SC"
"Phoenix","acaulis","SI"
"Silene","acaulis","SC"
"Sonchus","acaulis","SI"
"Tetraneuris","acaulis","SI"
"Tradescantia","acaulis","SC"
"Zinnia","acerosa","SI"
"Oxalis","acetosella","SC"
"Gilia","achilleifolia","SC"
"Tillandsia","achyrostachys","SI"
"Dendrobium","aciculare","SI"
"Linanthus","acicularis","SC"
"Dendrobium","acinaciforme","SI"
"Vicia","aconitifolia","SC"
"Vigna","aconitifolia","SC"
"Erigeron","acris","SC"
"Ranunculus","acris","SI"
"Encelia","actoni","SI"
"Encelia","actonii","SI"
"Solanum","aculeastrum","SC"
"Bauhinia","aculeata","PSI"
"Medicago","aculeata","SC"
"Nassauvia","aculeata","SI"
"Parkinsonia","aculeata","SC"
"Solanum","aculeatissimum","SC"
"Heliconia","acuminata","PSI"
"Ipomea","acuminata","SI"
"Microseris","acuminata","SC"
"Psychotria","acuminata","SC"
"Shorea","acuminata","SI"
"Aster","acuminatus","SC"
"Helianthus","acuminatus","SI"
"Stylosanthes","acumita","SC"
"Hedyotis","acutangula","PSI"
"Bellucia","acutata","SI"
"Lotononis","acuticarpa","SC"
"Grindelia","acutifolia","SI"
"Silene","acutifolia","SC"
"Anemopaegma","acutifolium","SC"
"Phaseolus","acutifolius","SC"
"Tripodanthus","acutifolius","PSI"
"Acianthera","adamantinensis","SI"
"Argyranthemum","adauctum","SC"
"Olearia","adenocarpa","SC"
"Ageratina","adenophora","PSI"
"Eupatorium","adenophorum","SC"
"Banisteriopsis","adenopoda","SC"
"Justicia","adhatoda","SI"
"Stylidium","adnatum","PSI"
"Ranunculus","adoneus","SC"
"Stylidium","adpressum","SI"
"Desmodium","adscendens","SC"
"Solanum","adscendens","SC"
"Tephrosia","adunca","PSI"
"Piper","aduncum","SC"
"Nymphaea","advena","SC"
"Tibouchina","aegopogon","SI"
"Merremia","aegyptia","PSI"
"Balanites","aegyptiaca","SC"
"Ochthodium","aegyptiacum","SI"
"Onobrychis","aequidentata","SC"
"Justicia","aequilabris","SI"
"Aneilema","aequinoctiale","SI"
"Godmania","aesculifolia","SI"
"Earina","aestivalis","PSI"
"Asphodelus","aestivus","PSI"
"Aloë","aethiopica","SI"
"Solanum","aethiopicum","SC"
"Melastoma","affine","SC"
"Stylidium","affine","PSI"
"Trifolium","affine","SC"
"Colobanthus","affinis","PSI"
"Lupinus","affinis","SC"
"Miconia","affinis","SI"
"Oenothera","affinis","SC"
"Scalesia","affinis","SC"
"Aeschynomene","afraspera","SC"
"Afzelia","africa","SI"
"Aloe","africana","SI"
"Aspilia","africana","SI"
"Commelina","africana","SI"
"Malcolmia","africana","SC"
"Nicotiana","africana","SC"
"Macrotyloma","africanum","SC"
"Trifolium","africanum","PSI"
"Ariocarpus","agavioides","SI"
"Eupatorium","ageratoides","SI"
"Dendrobium","aggregatum","SI"
"Astragalus","agnicidus","SC"
"Ipomopsis","agregata","SI"
"Alopecurus","agrestis","SI"
"Helianthus","agrestis","PSI"
