"","family","order","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","groups_pam"
"Abolboda pulchella","Xyridaceae","Poales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior","nectar","zygomorphic","bright",0.3,3,10.6,NA,NA,0.6,NA,5
"Achatocarpus praecox","Achatocarpaceae","Caryophyllales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",6,16,1,2,1,0.65,NA,1
"Acorus calamus","Acoraceae","Acorales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other","zygomorphic","bright_dull",1.75,6,4.5,3,1,0.35,3.72,NA
"Actinidia chinensis","Actinidiaceae","Ericales","woody","climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none_pollen","actinomorphic","bright",5,155,15,29,1,5.15,1.6,1
"Aerva javanica","Amaranthaceae","Caryophyllales","herbaceous_woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright",1,5,1,2.5,1,0.2,0.29,1
"Aextoxicon punctatum","Aextoxicaceae","Berberidopsidales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",8,5.5,2,1,NA,0.8,325.25,1
"Agalinis neoscotica","Orobanchaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",0.4,4,NA,2,NA,1.15,NA,5
"Ailanthus altissima","Simaroubaceae","Sapindales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior","nectar","actinomorphic","bright_dull",30,10,1,5,NA,0.8,29.25,1
"Ainsliaea cordifolia","Asteraceae","Asterales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.375,5,1,2,1,1.5,NA,2
"Ajuga reptans","Lamiaceae","Lamiales","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long",NA,"biotic","biotic","short","bisexual_unisexual","superior","nectar_pollen","zygomorphic","bright",0.275,4,NA,2,1,1.27,1.37,5
"Akebia quinata","Lardizabalaceae","Ranunculales","woody","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","unisexual","superior","none_pollen","actinomorphic","bright",9.5,6,150,6,0,1.1,20.5,7
"Albizia julibrissin","Fabaceae","Fabales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous","long_short","bisexual_unisexual","superior","nectar_pollen","actinomorphic","bright_dull",16,25,15,1,NA,0.8,37.37,7
"Alepis flavida","Loranthaceae","Santalales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",1,5.5,NA,NA,NA,1.6,NA,NA
"Allanblackia floribunda","Clusiaceae","Malpighiales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",30,185,18,5,NA,5,NA,1
"Allium sativum","Amaryllidaceae","Asparagales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous","autonomous","short","bisexual_unisexual","superior",NA,"actinomorphic_zygomorphic","bright",0.3,6,2,3,NA,NA,NA,5
"Allium schoenoprasum","Amaryllidaceae","Asparagales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.35,6,2,3,NA,1.04,0.99,4
"Allocasuarina verticillata","Casuarinaceae","Fagales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual",NA,"none",NA,"bright",7,1,1,1.5,1,0.9,4,1
"Alluaudia procera","Didiereaceae","Caryophyllales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"other","bright_dull",15,8,1,3,1,0.2,2.22,1
"Alnus alnobetula","Betulaceae","Fagales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","unisexual","inferior","none","actinomorphic","dull",10,4,1.5,2.5,1,NA,0.51,1
"Aloe thraskii","Asphodelaceae","Asparagales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual",NA,"nectar","zygomorphic","bright",2.75,6,NA,NA,NA,2.35,NA,NA
"Alphitonia excelsa","Rhamnaceae","Rosales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull",21,5,1,3,NA,1,22.06,7
"Alseuosmia macrophylla","Alseuosmiaceae","Asterales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",2.375,5,51.5,2,NA,3.75,4.1,6
"Alstroemeria aurea","Alstroemeriaceae","Liliales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","inferior","nectar","zygomorphic","bright",0.75,6,21.5,3,NA,5,18.91,5
"Alyssum simplex","Brassicaceae","Brassicales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.15,6,2,2,1,0.25,0.83,4
"Amborella trichopoda","Amborellaceae","Amborellales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","autonomous_biotic","long_short","unisexual","superior","none_other","actinomorphic","bright",8,16.5,1,5,0,0.4,3.67,1
"Amsonia tabernaemontana","Apocynaceae","Gentianales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"actinomorphic","bright",0.65,5,NA,2,0,1.9,84.21,2
"Anarthria polyphylla","Restionaceae","Poales","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic",NA,NA,"unisexual","superior","none","actinomorphic","dull",0.1,3,1,3,1,0.5,NA,NA
"Angelonia pubescens","Plantaginaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","superior","other","zygomorphic","bright",0.7,4,NA,2,1,1.4,NA,5
"Anigozanthos humilis","Haemodoraceae","Commelinales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar","zygomorphic","bright",0.55,6,51,3,NA,3.75,0.52,5
"Annona crassiflora","Annonaceae","Magnoliales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","other","actinomorphic","bright_dull",7,NA,NA,NA,NA,3.25,5936.27,7
"Antirrhinum majus","Plantaginaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","pollen","zygomorphic","bright",0.5,4,NA,2,1,3.6,0.12,5
"Apium graveolens","Apiaceae","Apiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","abiotic","long","bisexual","inferior","nectar","actinomorphic","bright",1,5,1,2,1,0.15,0.34,2
"Aquilegia canadensis","Ranunculaceae","Ranunculales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.525,40,75,5,0,3,1.16,2
