"","NTaxDat","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"1","Abolboda pulchella","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior","nectar","zygomorphic","bright"
"2","Achatocarpus praecox","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull"
"3","Acorus calamus","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other","zygomorphic","bright_dull"
"4","Actinidia chinensis","woody","climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none_pollen","actinomorphic","bright"
"5","Aerva javanica","herbaceous_woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright"
"6","Aextoxicon punctatum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright"
"7","Agalinis neoscotica","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright"
"8","Ailanthus altissima","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior","nectar","actinomorphic","bright_dull"
"9","Ainsliaea cordifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright"
"10","Ajuga reptans","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long",NA,"biotic","biotic","short","bisexual_unisexual","superior","nectar_pollen","zygomorphic","bright"
"11","Akebia quinata","woody","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","unisexual","superior","none_pollen","actinomorphic","bright"
"12","Albizia julibrissin","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous","long_short","bisexual_unisexual","superior","nectar_pollen","actinomorphic","bright_dull"
"13","Alepis flavida","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright"
"14","Allanblackia floribunda","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright"
"15","Allium sativum","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous","autonomous","short","bisexual_unisexual","superior",NA,"actinomorphic_zygomorphic","bright"
"16","Allium schoenoprasum","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright"
"17","Allocasuarina verticillata","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual",NA,"none",NA,"bright"
"18","Alluaudia procera","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"other","bright_dull"
"19","Alnus alnobetula","woody","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic","abiotic","long","unisexual","inferior","none","actinomorphic","dull"
"20","Aloe thraskii","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"unisexual",NA,"nectar","zygomorphic","bright"
"21","Alphitonia excelsa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull"
"22","Alseuosmia macrophylla","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright"
