"","species","outcrossing_rate"
"7","Agalinis neoscotica","mixed"
"9","Ainsliaea cordifolia","outcrossing"
"11","Akebia quinata","outcrossing"
"12","Albizia julibrissin","outcrossing"
"16","Allium schoenoprasum","outcrossing"
"19","Alnus alnobetula","outcrossing"
"20","Aloe thraskii","mixed"
"23","Alstroemeria aurea","mixed"
"30","Annona crassiflora","outcrossing"
"32","Apium graveolens","mixed"
"33","Aquilegia canadensis","mixed"
"34","Arabidopsis thaliana","selfing"
"37","Arum maculatum","outcrossing"
"41","Avicennia marina","mixed"
"47","Begonia heracleifolia","mixed"
"51","Beta vulgaris","mixed"
"52","Bixa orellana","mixed"
"53","Borago officinalis","selfing"
"54","Brasenia schreberi","mixed"
"55","Bretschneidera sinensis","mixed"
"56","Bruguiera gymnorhiza","mixed"
"57","Buddleja davidii","outcrossing"
"61","Byrsonima crassifolia","selfing"
"69","Cardiocrinum cordatum","mixed"
"70","Carex laxiflora","selfing"
"72","Caryocar brasiliense","outcrossing"
"74","Catharanthus roseus","mixed"
"79","Chimaphila umbellata","outcrossing"
"80","Chimonanthus praecox","mixed"
"83","Cinnamomum camphora","outcrossing"
"84","Cirsium pitcheri","mixed"
"85","Clarkia xantiana","mixed"
"88","Cleomella arborea","outcrossing"
"93","Coffea arabica","mixed"
"101","Corrigiola litoralis","selfing"
"110","Cypripedium calceolus","outcrossing"
"115","Datisca glomerata","mixed"
"119","Diapensia lapponica","mixed"
"124","Dryas octopetala","mixed"
"128","Eriogonum arborescens","mixed"
"129","Eryngium alpinum","outcrossing"
"132","Eucalyptus cladocalyx","mixed"
"135","Fagus grandifolia","outcrossing"
"137","Filipendula vulgaris","outcrossing"
"146","Gomortega keule","mixed"
"148","Gossypium hirsutum","mixed"
"156","Helianthus annuus","mixed"
"159","Hevea brasiliensis","mixed"
"173","Juglans mandshurica","outcrossing"
"174","Jumellea fragrans","mixed"
"175","Juncus effusus","selfing"
"177","Kalmia latifolia","outcrossing"
"184","Larrea tridentata","mixed"
"187","Limnanthes douglasii","outcrossing"
"190","Liriodendron chinense","mixed"
"196","Malpighia emarginata","outcrossing"
"197","Manihot esculenta","outcrossing"
"198","Manilkara zapota","outcrossing"
"199","Marathrum rubrum","selfing"
"202","Medicago sativa","outcrossing"
"206","Miconia affinis","outcrossing"
"212","Moringa oleifera","mixed"
"214","Myristica fragrans","outcrossing"
"216","Myrtus communis","mixed"
"218","Nelumbo lutea","mixed"
"219","Nelumbo nucifera","outcrossing"
"224","Nothapodytes nimmoniana","mixed"
"225","Nothofagus dombeyi","outcrossing"
"228","Nymphoides peltata","mixed"
"233","Olea europaea","outcrossing"
"234","Oryza sativa","selfing"
"238","Panax quinquefolius","mixed"
"239","Pandanus tectorius","outcrossing"
"243","Petunia axillaris","mixed"
"256","Pitcairnia albiflos","outcrossing"
"258","Plantago lanceolata","outcrossing"
"268","Posidonia australis","mixed"
"273","Prunus persica","mixed"
"275","Qualea grandiflora","outcrossing"
"276","Quercus rubra","outcrossing"
"284","Rhizophora stylosa","mixed"
"286","Roridula dentata","selfing"
"287","Roridula gorgonias","selfing"
"295","Santalum spicatum","outcrossing"
"296","Sarracenia purpurea","outcrossing"
"300","Schisandra chinensis","mixed"
"301","Schizanthus grahamii","mixed"
"305","Sextonia rubra","outcrossing"
"306","Silene vulgaris","mixed"
"308","Sinojackia xylocarpa","outcrossing"
"309","Solanum dulcamara","mixed"
"311","Spergularia marina","selfing"
"314","Spondias tuberosa","outcrossing"
"319","Swietenia macrophylla","outcrossing"
"322","Tacca chantrieri","selfing"
"325","Tectona grandis","outcrossing"
"328","Tetratheca aphylla","outcrossing"
"331","Theobroma cacao","mixed"
"335","Tragopogon dubius","selfing"
"338","Trillium erectum","mixed"
"343","Turnera ulmifolia","selfing"
"347","Valeriana officinalis","outcrossing"
"349","Verbascum thapsus","mixed"
"352","Viola pubescens","mixed"
"353","Vitex negundo","outcrossing"
"356","Vriesea carinata","mixed"
"357","Warburgia ugandensis","outcrossing"
"358","Wurmbea biglandulosa","outcrossing"
"361","Zea mays","outcrossing"
"362","Zelkova serrata","outcrossing"
"363","Zostera marina","mixed"
