"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Monocarpwidth","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Monocarplength","Numberofstructuralcarpels","Fusionofovaries","Lengthofgynoecium","flowerSize","seedMass"
"Abolboda pulchella","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior","nectar","zygomorphic","bright",0.3,0.4,3,10.6,90,47,NA,NA,NA,NA,0.6,NA
"Achatocarpus praecox","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",6,0.45,16,1,NA,NA,0.55,2,1,0.3,0.65,NA
"Acorus calamus","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other","zygomorphic","bright_dull",1.75,0.25,6,4.5,21,NA,0.425,3,1,0.14,0.35,3.72
"Actinidia chinensis","woody","climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none_pollen","actinomorphic","bright",5,NA,155,15,NA,NA,NA,29,1,NA,5.15,1.6
"Aerva javanica","herbaceous_woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright",1,NA,5,1,NA,NA,NA,2.5,1,NA,0.2,0.29
"Aextoxicon punctatum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",8,0.55,5.5,2,NA,NA,0.85,1,NA,NA,0.8,325.25
"Agalinis neoscotica","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",0.4,0.55,4,999,NA,128.4,0.55,2,NA,NA,1.15,NA
"Ailanthus altissima","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior","nectar","actinomorphic","bright_dull",30,1,10,1,31.5,NA,4.05,5,NA,NA,0.8,29.25
"Ainsliaea cordifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.375,NA,5,1,NA,NA,0.4,2,1,NA,1.5,NA
"Ajuga reptans","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long",NA,"biotic","biotic","short","bisexual_unisexual","superior","nectar_pollen","zygomorphic","bright",0.275,NA,4,NA,22.95,661.5,NA,2,1,NA,1.27,1.37
"Akebia quinata","woody","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","unisexual","superior","none_pollen","actinomorphic","bright",9.5,3.725,6,150,17.5,NA,6.875,6,0,NA,1.1,20.5
