"","Axis.1","Axis.2","Axis.3","Axis.4"
"Aquatic",0.027,0.149,0.053,0.039
"Climbing",0.004,0.018,0.012,0.037
"DispersalDist",0.279,0.019,0.561,0.145
"DispersalMode",0.339,0.076,0.604,0.173
"FloralReward",0.211,0.657,0.096,0.107
"flowerSize",0.179,-0.467,-0.107,-0.008
"FlowerSymmetry",0.154,0.024,0.079,0.344
"Fusionofovaries",0.012,-0.177,0.01,-0.122
"Lifespan",0.28,0.065,0,0.025
"Mating",0.375,0.054,0.027,0.023
"Maximumverticalheight",-0.71,-0.183,-0.002,-0.027
"Numberoffertilestamens",-0.136,-0.309,0.049,0.315
"Numberofovulesperfunctionalcarpel",0.338,-0.307,-0.008,0.16
"Numberofstructuralcarpels",-0.003,-0.21,0.05,0.23
"OvaryPosition",0.012,0.057,0.239,0.388
"Pollination",0.17,0.667,0.074,0.073
"seedMass",-0.515,-0.129,0.054,0.122
"SexualSystem",0.366,0.157,0.05,0.07
"Showiness",0.121,0.475,0.042,0.023
"Woodiness",0.605,0.115,0.04,0.002
