"Leaf_area_mm2"	"Nmass_mg_g"	"LMA_g_m2"	"Plant_height_m"	"Diaspore_mass_mg"	"SSD_combined_mg_mm3"
"Aaronsohnia pubescens"	NA	NA	NA	-1.13510094796739	NA	NA
"Abarema adenophora"	0.789852764405484	0.540214337577497	0.284657165350556	NA	NA	0.622187998079906
"Abarema adenophorum"	NA	NA	NA	NA	NA	-0.492519508881611
"Abarema brachystachya"	NA	1.03925060558193	NA	0.983385158273373	NA	0.240975761721643
"Abarema cochleata"	-0.304306761466269	NA	NA	NA	NA	NA
"Abarema floribunda"	-0.304306761466269	NA	NA	NA	NA	NA
"Abarema jupunba"	-0.604964589047974	0.918297420051004	-0.00849356297246054	1.6617965427381	1.49960955882565	0.311222649027877
"Abarema laeta"	NA	2.10267900774053	-0.647169925999432	NA	NA	NA
"Abarema macradenia"	NA	0.44713101286056	0.964116932614796	1.60758673459019	1.34146150188634	-0.155556195592886
"Abarema mataybifolia"	NA	1.48287429857353	-0.360025590684853	0.983385158273373	NA	0.0530549060018032
"Abarema microcalyx var. microcalyx"	-0.304306761466269	-0.234140708037026	NA	0.646683672895006	0.998960468910375	NA
"Abarema piresii"	NA	0.428512471777904	NA	NA	NA	NA
"Abarema racemiflora"	0.380442289089018	NA	NA	NA	NA	NA
"Abatia parviflora"	NA	0.528693396098825	NA	NA	NA	NA
"Abelia biflora"	0.380442289089018	-0.131280063638503	-0.600134585321928	0.13306211164481	NA	NA
"Abelia chinensis"	NA	NA	NA	0.111822835756914	NA	NA
"Abelia dielsii"	NA	NA	NA	0.3313952147794	NA	NA
"Abelia grandiflora"	NA	NA	NA	0.0607505736938534	NA	NA
"Abelia macrotera"	NA	NA	NA	0.111822835756914	NA	NA
"Abelia parvifolia"	NA	NA	NA	0.487184296964755	NA	NA
"Abelia triflora"	NA	NA	NA	NA	-0.325907166332273	NA
"Abelmoschus crinitus"	NA	NA	NA	NA	0.540366053581473	NA
"Abelmoschus esculentus"	NA	NA	NA	0.111822835756914	0.932040517325296	NA
"Abelmoschus ficulneus"	NA	NA	NA	NA	0.654454715132683	NA
"Abelmoschus manihot"	NA	NA	NA	NA	0.955572244466637	NA
"Abelmoschus moschatus"	0.899973648882254	NA	NA	0.111822835756914	0.723436437621838	NA
"Abies alba"	-1.74990303999431	0.720576212793957	0.591556788290186	1.76148281012299	1.15333094256687	0.126675045618479
"Abies amabilis"	NA	-1.60028345230035	NA	1.80928720989218	0.997993138524939	-0.200180586842132
"Abies balsamea"	-1.71387374183441	-0.69919158326031	1.02417785052991	1.30099811604939	0.0783255931917508	-0.200180586842132
"Abies beshanzuensis"	NA	NA	NA	1.03499868186938	NA	NA
"Abies borisii-regis"	NA	NA	NA	1.5783189985037	NA	NA
"Abies bracteata"	NA	NA	NA	1.36098932736674	0.876879053741584	NA
"Abies cephalonica"	NA	NA	NA	1.52855435496752	1.22465758478622	NA
"Abies chensiensis"	NA	NA	NA	1.85494748078983	NA	NA
"Abies cilicica"	NA	NA	NA	1.5783189985037	1.4673554636782	NA
"Abies concolor"	-1.34909748523764	-0.87909999827934	1.64638687362596	1.78505658852355	0.862873962188654	-0.292708651041423
"Abies delavayi"	NA	NA	NA	1.73410808068905	NA	-0.292708651041423
"Abies delavayi var. nukiangensis"	NA	NA	NA	1.35874661948121	NA	NA
"Abies fabri"	NA	NA	NA	1.73410808068905	NA	-0.440558748227706
"Abies fargesii"	NA	NA	NA	1.73410808068905	NA	-0.600917532855179
"Abies fargesii var. faxoniana"	NA	NA	NA	1.73410808068905	NA	-0.389983774355272
"Abies firma"	NA	NA	NA	1.85494748078983	0.934736896469511	NA
"Abies forrestii"	NA	NA	NA	1.35874661948121	NA	-0.545944143885359
"Abies forrestii var. ferreana"	NA	NA	NA	1.47958601958199	NA	NA
"Abies forrestii var. georgei"	NA	NA	NA	1.5783189985037	NA	-0.155556195592886
"Abies fraseri"	-1.71928213491458	-0.16483811912342	1.43264822155824	1.36830110631006	0.105970668520487	0.222999806032932
"Abies grandis"	-0.943337837582347	-0.617432407386767	1.67526067125575	1.90574316593703	0.528360563446523	-0.200180586842132
"Abies guatemalensis"	NA	NA	NA	NA	NA	-0.155556195592886
"Abies holophylla"	NA	NA	NA	1.79452342692159	NA	-0.657532158730601
"Abies homolepis"	NA	NA	NA	1.50511965201179	0.514597373976188	NA
"Abies kawakamii"	NA	NA	NA	1.35874661948121	NA	NA
"Abies koreana"	NA	NA	NA	1.16268681793414	0.260127563724955	NA
"Abies lasiocarpa"	-1.71333630600501	-0.804601489607681	2.08026407368013	1.51429872952323	0.370963139586262	-0.715889043916487
"Abies lasiocarpa var. arizonica"	NA	NA	NA	NA	NA	-0.969124536760422
