"","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"Abolboda_pulchella",-1.06386227395981,-0.855068640769968,0.626698666773955,-0.0779987349100396,0.351041348675995,-0.663637791147085,-0.705018756098896,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","superior","nectar","zygomorphic","bright"
"Achatocarpus_praecox",0.667956798104982,0.746624428216489,-0.784439733353737,-0.570138569082411,0.410413406723782,-0.594531084327043,0.603061432232411,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","biotic","long","superior","other","actinomorphic","bright_dull"
"Acorus_calamus",-0.0443398065095567,-0.191851995287345,0.114582980609079,0.0384931216028799,0.410413406723782,-1.12899277770106,-0.120773856637053,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","superior","other","zygomorphic","bright_dull"
"Actinidia_chinensis",0.562557543274467,2.91940466646622,0.834226065733858,3.44394693691401,0.410413406723782,1.19246061401695,-0.367365618947187,"woody","climbing","non-aquatic","dioecious","long","outcrossing","abiotic_biotic","biotic","long","superior","none_pollen","actinomorphic","bright"
"Aerva_javanica",-0.367851123969636,-0.366300791570949,-0.784439733353737,-0.235184378978198,0.410413406723782,-1.61214989860273,-0.866522475138911,"herbaceous_woody","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","abiotic","long","superior","nectar","actinomorphic","bright"
"Aextoxicon_punctatum",0.834264483261393,-0.275106165807477,-0.370129232592074,-1.61060131658324,-0.236742025997109,-0.415260878169663,1.18591529627324,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","biotic","long","superior","nectar","actinomorphic","bright"
"Agalinis_neoscotica",-0.897554588803396,-0.579808862748757,-0.1646435366864,-0.570138569082411,0.143239145508735,-0.101938099809115,-0.452762786959617,"herbaceous","non-climbing","non-aquatic","bisexual","short","mixed","biotic","abiotic","long","superior","nectar","zygomorphic","bright"
"Ailanthus_altissima",1.59836546534908,0.296915853911674,-0.784439733353737,0.805278368522632,0.101678704875283,-0.415260878169663,0.481926844235318,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","abiotic","long","superior","nectar","actinomorphic","bright_dull"
"Ainsliaea_cordifolia",-0.934864011536391,-0.366300791570949,-0.784439733353737,-0.570138569082411,0.410413406723782,0.127462820139255,-0.342167507395085,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","inferior","nectar","actinomorphic","bright"
"Ajuga_reptans",-1.11416315147397,-0.579808862748757,0.0354133834940333,-0.570138569082411,0.410413406723782,-0.0162440561055187,-0.412723422870071,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","short","superior","nectar_pollen","zygomorphic","bright"
"Akebia_quinata",0.933610327718899,-0.191851995287345,2.21053575822088,1.07895586910371,-2.55818949566563,-0.140316548176278,0.378039068948995,"woody","climbing","non-aquatic","monoecious","long","outcrossing","biotic","autonomous","short","superior","none_pollen","actinomorphic","bright"
"Albizia_julibrissin",1.23496968567174,1.17364057057211,0.834226065733858,-1.61060131658324,-0.955143928375348,-0.415260878169663,0.55352901680621,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic_autonomous","long_short","superior","nectar_pollen","actinomorphic","bright_dull"
"Alepis_flavida",-0.367851123969636,-0.275106165807477,-0.247264560500351,-0.303709571137267,0.11949032228962,0.183183632046868,0.192622111373223,"woody","non-climbing","non-aquatic","bisexual","long","mixed","biotic","biotic","long","inferior","nectar","actinomorphic","bright"
"Allanblackia_floribunda",1.59836546534908,3.08869539437964,0.943203982132403,0.805278368522632,-0.0586258518537451,1.16694034440302,0.547616837114078,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","biotic","long","superior","nectar","actinomorphic","bright"
"Allium_sativum",-1.06386227395981,-0.191851995287345,-0.370129232592074,0.0384931216028799,0.270889070311481,-0.0527486632350071,-0.375749497324889,"herbaceous","non-climbing","non-aquatic","bisexual","long","selfing","autonomous","autonomous","short","superior","nectar","actinomorphic_zygomorphic","bright"
"Allium_schoenoprasum",-0.97474847375366,-0.191851995287345,-0.370129232592074,0.0384931216028799,0.336198334164048,-0.188742675180321,-0.507669686387111,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","autonomous","short","superior","nectar","actinomorphic","bright"
