"","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"Abolboda_pulchella",-1.06386227395981,-0.855068640769968,0.626698666773955,-0.267813452441225,0.285732084823427,-0.662697362443526,-0.716222803799048,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Achatocarpus_praecox",0.667956798104982,0.746624428216489,-0.784439733353737,-0.57135113032844,0.410413406723782,-0.59369828573646,0.594194098020381,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1"
"Acorus_calamus",-0.0443398065095567,-0.191851995287345,0.114582980609079,0.0366200967296959,0.410413406723782,-1.12732758273267,-0.120773856637053,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","1","1"
"Actinidia_chinensis",0.562557543274467,2.91940466646622,0.834226065733858,3.43837844495722,0.410413406723782,1.19051026568548,-0.367365618947187,"0","1","1","0","0","1","1","0","1","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0","0","1","0","1","0","1","1","0","0","1","0"
"Aerva_javanica",-0.367851123969636,-0.366300791570949,-0.784439733353737,-0.236760419587383,0.410413406723782,-1.60973221146823,-0.866522475138911,"1","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Aextoxicon_punctatum",0.834264483261393,-0.275106165807477,-0.370129232592074,-1.61068480780112,-0.00519099961073559,-0.414707283630753,1.18591529627324,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Agalinis_neoscotica",-0.897554588803396,-0.579808862748757,-0.109246400081517,-0.57135113032844,0.276826276116259,-0.101872489253014,-0.361795965891251,"1","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Ailanthus_altissima",1.59836546534908,0.296915853911674,-0.784439733353737,0.802573257885298,-0.0289398228298509,-0.414707283630753,0.481926844235318,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1"
"Ainsliaea_cordifolia",-0.934864011536391,-0.366300791570949,-0.784439733353737,-0.57135113032844,0.410413406723782,0.127171150656024,-0.159215531677933,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Ajuga_reptans",-1.11416315147397,-0.579808862748757,0.205891785841974,-0.57135113032844,0.410413406723782,-0.0163119095796043,-0.412723422870071,"1","0","0","1","0","1","1","1","1","0","0","1","0","0","0","1","0","0","1","0","1","1","1","0","0","1","1","0","0","1","0","0","1","1","0"
