"","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_bisexual","SexualSystem_dioecious","SexualSystem_monoecious","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"Abolboda_pulchella",-1.06386227395981,-0.855068640769968,0.626698666773955,-0.180141978178211,0.261983261604312,-0.663637791147085,-0.627378995019122,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Achatocarpus_praecox",0.667956798104982,0.746624428216489,-0.784439733353737,-0.570138569082411,0.410413406723782,-0.594531084327043,0.516785844560475,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","1"
"Acorus_calamus",-0.0443398065095567,-0.191851995287345,0.114582980609079,0.0384931216028799,0.410413406723782,-1.12899277770106,-0.120773856637053,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","1"
"Actinidia_chinensis",0.562557543274467,2.91940466646622,0.834226065733858,3.44394693691401,0.410413406723782,1.19246061401695,-0.367365618947187,"0","1","1","0","0","1","0","1","0","1","0","0","1","0","1","0","1","0","0","1","1","0","0","0","1","0","1","0","1","1","0","0","1","0"
"Aerva_javanica",-0.367851123969636,-0.366300791570949,-0.784439733353737,-0.235184378978198,0.410413406723782,-1.61214989860273,-0.866522475138911,"1","1","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Aextoxicon_punctatum",0.834264483261393,-0.275106165807477,-0.370129232592074,-1.61060131658324,-0.094249086682418,-0.415260878169663,1.18591529627324,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Agalinis_neoscotica",-0.897554588803396,-0.579808862748757,-0.0854317806062536,-0.570138569082411,0.27088907031148,-0.101938099809115,-0.412032974669569,"1","0","0","1","0","1","1","0","0","0","1","1","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Ailanthus_altissima",1.59836546534908,0.296915853911674,-0.784439733353737,0.805278368522632,-0.00519099961073554,-0.415260878169663,0.481926844235318,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","1"
"Ainsliaea_cordifolia",-0.934864011536391,-0.366300791570949,-0.784439733353737,-0.570138569082411,0.410413406723782,0.127462820139255,-0.312153703493359,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Ajuga_reptans",-1.11416315147397,-0.579808862748757,0.125025888566944,-0.570138569082411,0.410413406723782,-0.0162440561055187,-0.412723422870071,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","1","0","0","1","0","0","1","1","0"
