"","states","rates","tree_sizes","no_states"
"1","Woodiness_herbaceous",0.00425421576376854,353,2
"2","Woodiness_woody",0.00446394108727813,353,2
"3","Climbing_climbing",0.000735684349256785,353,2
"4","Climbing_non.climbing",0.00060664844188843,353,2
"5","Aquatic_aquatic",0.000530331535578811,353,2
"6","Aquatic_non.aquatic",0.000529440551303608,353,2
"7","SexualSystem_dimorphic",0.00353210515120095,353,2
"8","SexualSystem_monomorphic",0.0029625075518836,353,2
"9","Lifespan_long",0.00162393457341141,346,2
"10","Lifespan_short",0.00206707278050604,346,2
"11","Mating_mixed",0.00298553715533844,302,2
"12","Mating_outcrossing",0.00587536974195253,302,2
"13","Mating_selfing",0.00191708861857333,302,2
"14","Pollination_abiotic",0.00184258838533504,324,2
"15","Pollination_autonomous",0.00076360162498428,324,2
"16","Pollination_biotic",0.00139820509226903,324,2
"17","DispersalMode_abiotic",45.3158363760082,297,2
"18","DispersalMode_autonomous",0.00441062499421772,297,2
"19","DispersalMode_biotic",0.0144137382218994,297,2
"20","DispersalDist_long",0.00389778489518761,297,2
"21","DispersalDist_short",0.0052309682329789,297,2
"22","FlowerSex_bisexual",0.00370330675965536,353,2
"23","FlowerSex_unisexual",0.00502240997101381,353,2
"24","OvaryPosition_inferior",0.0019555500889832,310,2
"25","OvaryPosition_intermediate",0.000830538790005932,310,2
"26","OvaryPosition_superior",0.00254904879481945,310,2
"27","FloralReward_nectar",0.00400281393707485,225,2
"28","FloralReward_none",0.00306145212004035,225,2
"29","FloralReward_other",0.00120261692318215,225,2
"30","FloralReward_pollen",0.00485703130895842,225,2
"31","FlowerSymmetry_actinomorphic",0.00242451709786306,312,2
"32","FlowerSymmetry_other",0.000449641583419508,312,2
"33","FlowerSymmetry_zygomorphic",0.00246027142786227,312,2
"34","Showiness_bright",0.00144778833296612,331,2
"35","Showiness_dull",0.00473236355746994,331,2
