"Order","Frequency"
"Malpighiales",28
"Caryophyllales",25
"Lamiales",25
"Ericales",23
"Asterales",16
"Brassicales",15
"Asparagales",14
"Poales",13
"Malvales",12
"Alismatales",11
"Ranunculales",10
"Myrtales",9
"Rosales",9
"Sapindales",9
"Solanales",9
"Apiales",8
"Gentianales",8
"Saxifragales",8
"Fagales",7
"Santalales",7
"Cucurbitales",6
"Laurales",6
"Zingiberales",6
"Liliales",5
"Magnoliales",5
"Nymphaeales",5
"Commelinales",4
"Cornales",4
"Fabales",4
"Oxalidales",4
"Dioscoreales",3
"Pandanales",3
"Piperales",3
"Proteales",3
"Boraginales",2
"Cardiopteridales",2
"Celastrales",2
"Dipsacales",2
"Geraniales",2
"Zygophyllales",2
"Acorales",1
"Amborellales",1
"Aquifoliales",1
"Arecales",1
"Austrobaileyales",1
"Berberidopsidales",1
"Bruniales",1
"Buxales",1
"Canellales",1
"Ceratophyllales",1
"Chloranthales",1
"Crossosomatales",1
"Dilleniales",1
"Huerteales",1
"Icacinales",1
"Metteniusales",1
"Paracryphiales",1
"Petrosaviales",1
"Picramniales",1
"Trochodendrales",1
"Vitales",1
