"","species","RS"
"1","Abolboda pulchella","unknown"
"2","Achatocarpus praecox","Dioecy"
"3","Acorus calamus","Monocliny: outcrossing"
"4","Actinidia chinensis","Dioecy"
"5","Aerva javanica","Dioecy"
"6","Aextoxicon punctatum","Dioecy"
"7","Agalinis neoscotica","Monocliny: mixed"
"8","Ailanthus altissima","Dioecy"
"9","Ainsliaea cordifolia","Monocliny: outcrossing"
"10","Ajuga reptans","unknown"
"11","Akebia quinata","Monoecy"
"12","Albizia julibrissin","Monocliny: outcrossing"
"13","Alepis flavida","Monocliny: mixed"
"14","Allanblackia floribunda","Dioecy"
"15","Allium sativum","Monocliny: selfing"
"16","Allium schoenoprasum","Monocliny: outcrossing"
"17","Allocasuarina verticillata","Dioecy"
"18","Alluaudia procera","Dioecy"
"19","Alnus alnobetula","Monoecy"
"20","Aloe thraskii","Monocliny: mixed"
"21","Alphitonia excelsa","Monocliny: outcrossing"
"22","Alseuosmia macrophylla","Monocliny: outcrossing"
"23","Alstroemeria aurea","Monocliny: mixed"
"24","Alyssum simplex","Monocliny: selfing"
"25","Amborella trichopoda","Dioecy"
"26","Amsonia tabernaemontana","unknown"
"27","Anarthria polyphylla","Dioecy"
"28","Angelonia pubescens","Monocliny: selfing"
"29","Anigozanthos humilis","Monocliny: outcrossing"
"30","Annona crassiflora","Monocliny: outcrossing"
"31","Antirrhinum majus","Monocliny: outcrossing"
"32","Apium graveolens","Monocliny: mixed"
"33","Aquilegia canadensis","Monocliny: mixed"
"34","Arabidopsis thaliana","Monocliny: selfing"
"35","Aralidium pinnatifidum","Dioecy"
"36","Arctostaphylos uva-ursi","unknown"
"37","Arum maculatum","Monoecy"
"38","Asparagus officinalis","Dioecy"
"39","Astelia alpina","Dioecy"
"40","Audouinia capitata","Monocliny: outcrossing"
"41","Avicennia marina","Monocliny: mixed"
"42","Azima tetracantha","Dioecy"
"43","Bagassa guianensis","Dioecy"
"44","Balanophora laxiflora","Dioecy"
"45","Balanops pancheri","Dioecy"
"46","Bdallophytum americanum","Dioecy"
"47","Begonia heracleifolia","Monocliny: mixed"
"48","Bergeranthus multiceps","Monocliny: outcrossing"
"49","Berteroa incana","Monocliny: outcrossing"
"50","Bertholletia excelsa","Monocliny: outcrossing"
"51","Beta vulgaris","Monocliny: mixed"
"52","Bixa orellana","Monocliny: mixed"
"53","Borago officinalis","Monocliny: selfing"
"54","Brasenia schreberi","Monocliny: mixed"
"55","Bretschneidera sinensis","Monocliny: mixed"
"56","Bruguiera gymnorhiza","Monocliny: mixed"
"57","Buddleja davidii","Monocliny: outcrossing"
"58","Bursera simaruba","Dioecy"
"59","Butomus umbellatus","Monocliny: outcrossing"
"60","Buxus balearica","Monoecy"
"61","Byrsonima crassifolia","Monocliny: selfing"
"62","Cabomba caroliniana","Monocliny: outcrossing"
"63","Calceolaria purpurea","Monocliny: outcrossing"
"64","Camellia sinensis","Monocliny: outcrossing"
"65","Canacomyrica monticola","Dioecy"
"66","Canna indica","Monocliny: selfing"
"67","Cannabis sativa","Dioecy"
"68","Capparis zeylanica","unknown"
"69","Cardiocrinum cordatum","Monocliny: mixed"
"70","Carex laxiflora","Monoecy"
"71","Carica papaya","Dioecy"
"72","Caryocar brasiliense","Monocliny: outcrossing"
"73","Catalpa speciosa","Monocliny: outcrossing"
"74","Catharanthus roseus","Monocliny: mixed"
"75","Caulophyllum thalictroides","Monocliny: mixed"
"76","Centroplacus glaucinus","Dioecy"
"77","Ceratophyllum demersum","Monoecy"
"78","Cercidiphyllum japonicum","Dioecy"
"79","Chimaphila umbellata","Monocliny: outcrossing"
"80","Chimonanthus praecox","Monocliny: mixed"
"81","Chloranthus spicatus","Monocliny: outcrossing"
"82","Chorispora tenella","Monocliny: selfing"
"83","Cinnamomum camphora","Monocliny: outcrossing"
"84","Cirsium pitcheri","unknown"
"85","Clarkia xantiana","Monocliny: mixed"
"86","Claytonia virginica","unknown"
"87","Cleistesiopsis bifaria","Monocliny: outcrossing"
"88","Cleomella arborea","Monocliny: outcrossing"
"89","Clethra alnifolia","unknown"
"90","Clutia pulchella","Dioecy"
"91","Cobaea scandens","Monocliny: outcrossing"
"92","Cochlospermum vitifolium","Monocliny: outcrossing"
"93","Coffea arabica","Monocliny: mixed"
"94","Combretum leprosum","Monocliny: outcrossing"
"95","Commelina communis","unknown"
"96","Cordyline australis","Monocliny: outcrossing"
"97","Coriaria myrtifolia","unknown"
"98","Coriaria ruscifolia","unknown"
"99","Cornus florida","Monocliny: outcrossing"
"100","Corokia cotoneaster","Monocliny: outcrossing"
"101","Corrigiola litoralis","Monocliny: selfing"
"102","Costus woodsonii","unknown"
"103","Cucurbita pepo","Monoecy"
"104","Cupaniopsis anacardioides","Monoecy"
"105","Curculigo latifolia","Monocliny: outcrossing"
"106","Cuscuta cuspidata","Monocliny: mixed"
"107","Cuttsia viburnea","Monocliny: outcrossing"
"108","Cyclanthus bipartitus","Monoecy"
"109","Cymodocea nodosa","Dioecy"
"110","Cypripedium calceolus","Monocliny: outcrossing"
"111","Cyrilla racemiflora","unknown"
"112","Dalechampia spathulata","Monoecy"
"113","Dalzellia ceylanica","Monocliny: selfing"
"114","Daphniphyllum macropodum","Dioecy"
"115","Datisca glomerata","Monocliny: mixed"
"116","Davidsonia jerseyana","Monocliny: selfing"
"117","Davilla kunthii","Monocliny: outcrossing"
"118","Denhamia celastroides","Monocliny: outcrossing"
"119","Diapensia lapponica","Monocliny: mixed"
"120","Diospyros australis","Dioecy"
"121","Dipterocarpus tempehes","Monocliny: outcrossing"
"122","Discaria americana","Monocliny: outcrossing"
"123","Drosophyllum lusitanicum","Monocliny: mixed"
"124","Dryas octopetala","Monocliny: mixed"
"125","Durio zibethinus","Monocliny: outcrossing"
"126","Eriocaulon parkeri","Monoecy"
"127","Eriogonum arborescens","Monocliny: mixed"
"128","Eryngium alpinum","Monocliny: outcrossing"
"129","Erythroxylum laurifolium","Monocliny: outcrossing"
"130","Eschscholzia californica","Monocliny: outcrossing"
"131","Eucalyptus cladocalyx","Monocliny: mixed"
"132","Eupomatia bennettii","Monocliny: outcrossing"
"133","Eupomatia laurina","Monocliny: outcrossing"
"134","Fagus grandifolia","Monoecy"
"135","Filipendula vulgaris","Monocliny: outcrossing"
"136","Floerkea proserpinacoides","Monocliny: selfing"
"137","Fumana ericoides","Monocliny: selfing"
"138","Galium aparine","Monocliny: selfing"
"139","Gelsemium sempervirens","Monocliny: outcrossing"
"140","Gentiana saponaria","unknown"
"141","Geranium sanguineum","Monocliny: mixed"
"142","Gerbera jamesonii","Monocliny: outcrossing"
"143","Gesneria cuneifolia","Monocliny: mixed"
"144","Gomortega keule","Monocliny: mixed"
"145","Gonocaryum litorale","Dioecy"
"146","Gossypium hirsutum","Monocliny: mixed"
"147","Grewia occidentalis","Monocliny: outcrossing"
"148","Griselinia racemosa","Dioecy"
"149","Gyrocarpus americanus","unknown"
"150","Hamamelis virginiana","Monocliny: outcrossing"
"151","Hanguana malayana","Dioecy"
"152","Haumania danckelmaniana","Monocliny: outcrossing"
"153","Hedychium gardnerianum","Monocliny: selfing"
