"","Species","Cluster"
"1","Abolboda_pulchella","1"
"2","Achatocarpus_praecox","2"
"3","Acorus_calamus","1"
"4","Actinidia_chinensis","2"
"5","Aerva_javanica","2"
"6","Aextoxicon_punctatum","2"
"7","Agalinis_neoscotica","1"
"8","Ailanthus_altissima","2"
"9","Ainsliaea_cordifolia","3"
"10","Ajuga_reptans","1"
"11","Akebia_quinata","4"
"12","Albizia_julibrissin","4"
"13","Alepis_flavida","3"
"14","Allanblackia_floribunda","2"
"15","Allium_sativum","1"
"16","Allium_schoenoprasum","3"
"17","Allocasuarina_verticillata","2"
"18","Alluaudia_procera","2"
"19","Alnus_alnobetula","2"
"20","Aloe_thraskii","1"
"21","Alphitonia_excelsa","4"
"22","Alseuosmia_macrophylla","4"
"23","Alstroemeria_aurea","1"
"24","Alyssum_simplex","3"
"25","Amborella_trichopoda","2"
"26","Amsonia_tabernaemontana","3"
"27","Anarthria_polyphylla","5"
"28","Angelonia_pubescens","1"
"29","Anigozanthos_humilis","1"
"30","Annona_crassiflora","4"
"31","Antirrhinum_majus","1"
"32","Apium_graveolens","3"
"33","Aquilegia_canadensis","3"
"34","Arabidopsis_thaliana","3"
"35","Aralidium_pinnatifidum","2"
"36","Arctostaphylos_uva-ursi","4"
"37","Arum_maculatum","5"
"38","Asparagus_officinalis","2"
"39","Astelia_alpina","2"
"40","Audouinia_capitata","4"
"41","Avicennia_marina","4"
"42","Azima_tetracantha","2"
"43","Bagassa_guianensis","2"
"44","Balanophora_laxiflora","2"
"45","Balanops_pancheri","2"
"46","Bdallophytum_americanum","2"
"47","Begonia_heracleifolia","1"
"48","Bergeranthus_multiceps","3"
"49","Berteroa_incana","3"
"50","Bertholletia_excelsa","4"
"51","Beta_vulgaris","5"
"52","Bixa_orellana","4"
"53","Borago_officinalis","3"
"54","Brasenia_schreberi","5"
"55","Bretschneidera_sinensis","4"
"56","Bruguiera_gymnorhiza","4"
"57","Buddleja_davidii","4"
"58","Bursera_simaruba","2"
"59","Butomus_umbellatus","3"
"60","Buxus_balearica","2"
"61","Byrsonima_crassifolia","1"
"62","Cabomba_caroliniana","3"
"63","Calceolaria_purpurea","1"
"64","Camellia_sinensis","4"
"65","Canacomyrica_monticola","2"
"66","Canna_indica","3"
"67","Cannabis_sativa","2"
"68","Capparis_zeylanica","4"
"69","Cardiocrinum_cordatum","1"
"70","Carex_laxiflora","5"
"71","Carica_papaya","2"
"72","Caryocar_brasiliense","4"
"73","Catalpa_speciosa","4"
"74","Catharanthus_roseus","3"
"75","Caulophyllum_thalictroides","3"
"76","Centroplacus_glaucinus","2"
"77","Ceratophyllum_demersum","5"
"78","Cercidiphyllum_japonicum","2"
"79","Chimaphila_umbellata","4"
"80","Chimonanthus_praecox","4"
"81","Chloranthus_spicatus","4"
"82","Chorispora_tenella","3"
"83","Cinnamomum_camphora","4"
"84","Cirsium_pitcheri","1"
"85","Clarkia_xantiana","3"
"86","Claytonia_virginica","3"
"87","Cleistesiopsis_bifaria","1"
"88","Clethra_alnifolia","4"
"89","Clutia_pulchella","2"
"90","Cobaea_scandens","4"
"91","Cochlospermum_vitifolium","4"
"92","Coffea_arabica","4"
"93","Combretum_leprosum","4"
"94","Commelina_communis","1"
"95","Cordyline_australis","4"
"96","Coriaria_myrtifolia","5"
"97","Coriaria_ruscifolia","4"
"98","Cornus_florida","4"
"99","Corokia_cotoneaster","4"
"100","Corrigiola_litoralis","3"
"101","Costus_woodsonii","1"
"102","Cucurbita_pepo","3"
"103","Cupaniopsis_anacardioides","4"
"104","Curculigo_latifolia","4"
"105","Cuscuta_cuspidata","3"
"106","Cuttsia_viburnea","4"
"107","Cyclanthus_bipartitus","4"
"108","Cymodocea_nodosa","5"
"109","Cypripedium_calceolus","1"
"110","Cyrilla_racemiflora","4"
"111","Dalechampia_spathulata","4"
"112","Dalzellia_ceylanica","3"
"113","Daphniphyllum_macropodum","2"
"114","Datisca_glomerata","5"
"115","Davidsonia_jerseyana","4"
"116","Davilla_kunthii","3"
"117","Denhamia_celastroides","4"
"118","Diapensia_lapponica","3"
"119","Diospyros_australis","2"
"120","Dipterocarpus_tempehes","4"
"121","Discaria_americana","4"
