"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","Dispersal_mode","Dispersal_dist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Flowerlength","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Numberofstructuralcarpels","Fusionofovaries","Fruitlength","Fruitwidth","Lengthofgynoecium","flowerSize","seed_mass"
"Abolboda pulchella","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior","nectar","zygomorphic","bright",0.6,0.3,3,10.6,90,47,NA,NA,NA,NA,NA,0.6,NA
"Achatocarpus praecox","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",NA,NA,16,1,NA,NA,2,1,NA,NA,NA,0.65,NA
"Acorus calamus","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other","zygomorphic","bright_dull",0.35,1.75,6,4.5,21,NA,3,1,0.425,0.25,0.14,0.35,3.72
"Actinidia chinensis","woody","climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none_pollen","actinomorphic","bright",1.5,5,155,15,NA,NA,29,1,NA,NA,NA,5.15,1.6
"Aerva javanica","herbaceous_woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright",0.2,1,5,1,NA,NA,2.5,1,NA,NA,NA,0.2,0.29
"Aextoxicon punctatum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",NA,NA,5.5,2,NA,NA,1,NA,NA,NA,NA,0.8,325.25
"Agalinis neoscotica","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",1.15,NA,4,NA,NA,123.5,2,NA,NA,NA,NA,1.15,NA
"Ailanthus altissima","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior","nectar","actinomorphic","bright_dull",NA,30,10,1,31.5,NA,5,NA,4.05,1,NA,0.8,29.25
"Ainsliaea cordifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga reptans","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long",NA,"biotic","biotic","short","bisexual_unisexual","superior","nectar_pollen","zygomorphic","bright",0.8,0.275,4,NA,22.95,661.5,2,1,NA,NA,NA,1.27,1.37
"Akebia quinata","woody","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","unisexual","superior","none_pollen","actinomorphic","bright",0.825,9.5,6,150,17.5,NA,6,0,6.875,3.725,NA,1.1,20.5
"Albizia julibrissin","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous","long_short","bisexual_unisexual","superior","nectar_pollen","actinomorphic","bright_dull",0.75,16,25,15,100,2826,1,NA,14.75,2,NA,0.8,37.37
"Alepis flavida","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",1.6,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA
"Allanblackia floribunda","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",NA,NA,185,505.5,NA,NA,5,NA,NA,NA,NA,5,NA
"Allium sativum","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous","autonomous","short","bisexual_unisexual","superior",NA,"actinomorphic_zygomorphic","bright",NA,NA,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"Allium schoenoprasum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",1.04,NA,6,NA,NA,NA,NA,NA,0.345,0.315,NA,1.04,0.99
"Allocasuarina verticillata","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual",NA,"none",NA,"bright",0.9,NA,1,1,30,4364,1.5,1,NA,NA,NA,0.9,4
