"","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_abiotic","Dispersal_autonomous","Dispersal_biotic","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Pollen.size","Pollen.ovule.ratio","Number.of.carpels","Fusion.of.ovaries","Fruit.length","Fruit.width","Length.of.gynoecium","Outcrossing.rate","Flower.size"
"Abolboda pulchella",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,0,0,0,1,1,0,0.3,3,10.6,90,47,NA,NA,NA,NA,NA,NA,0.6
"Achatocarpus praecox",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,1,NA,16,1,NA,NA,2,1,NA,NA,NA,NA,0.65
"Acorus calamus",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1.75,6,4.5,21,NA,3,1,0.425,0.25,0.14,NA,0.35
"Actinidia chinensis",0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,5,155,15,NA,NA,29,1,NA,NA,NA,NA,5.15
"Aerva javanica",1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0,1,5,1,NA,NA,2.5,1,NA,NA,NA,NA,0.2
"Aextoxicon punctatum",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,5.5,2,NA,NA,1,NA,NA,NA,NA,NA,0.8
"Agalinis neoscotica",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,4,NA,NA,123.5,2,NA,NA,NA,NA,0.53,1.15
"Ailanthus altissima",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,30,10,1,31.5,NA,5,NA,4.05,1,NA,NA,0.8
"Ainsliaea cordifolia",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga reptans",1,0,0,1,0,1,1,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0.275,4,NA,22.95,661.5,2,1,NA,NA,NA,NA,1.27
"Akebia quinata",0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,9.5,6,150,17.5,NA,6,0,6.875,3.725,NA,0.92,1.1
