"","NTaxDat","new_state.x","Climbing","SexualSystem","Lifespan","Mating","Pollination","Dispersal","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"1","Abolboda pulchella","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual","superior","nectar","zygomorphic","bright"
"2","Achatocarpus praecox","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,"actinomorphic","bright_dull"
"3","Acorus calamus","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","other","zygomorphic","bright_dull"
"4","Actinidia chinensis","woody","climbing","dimorphic","long","outcrossing","abiotic_biotic","biotic","unisexual","superior","none_pollen","actinomorphic","bright"
"5","Aerva javanica","herbaceous_woody","non-climbing","dimorphic","long","outcrossing","biotic","abiotic","unisexual","superior",NA,"actinomorphic","bright"
"6","Aextoxicon punctatum","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,"actinomorphic","bright"
"7","Agalinis neoscotica","herbaceous","non-climbing","monomorphic","short",NA,"biotic",NA,"bisexual","superior",NA,"zygomorphic","bright"
"8","Ailanthus altissima","woody","non-climbing","dimorphic","long","outcrossing","biotic","abiotic","unisexual","superior","nectar","actinomorphic","bright_dull"
"9","Ainsliaea cordifolia","herbaceous","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","inferior",NA,"actinomorphic","bright"
"10","Ajuga reptans","herbaceous","non-climbing","dimorphic_monomorphic","long",NA,"biotic","biotic","bisexual_unisexual","superior","nectar_pollen","zygomorphic","bright"
"11","Akebia quinata","woody","climbing","monomorphic","long","outcrossing","biotic","autonomous","unisexual","superior","none_pollen","actinomorphic","bright"
"12","Albizia julibrissin","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic_autonomous","bisexual_unisexual","superior","nectar_pollen","actinomorphic","bright_dull"
"13","Alepis flavida","woody","non-climbing","monomorphic","long","mixed","biotic","biotic","bisexual","inferior","nectar","actinomorphic","bright"
"14","Allanblackia floribunda","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,"actinomorphic","bright"
"15","Allium sativum","herbaceous","non-climbing","monomorphic","long","selfing","autonomous","autonomous","bisexual_unisexual","superior",NA,"actinomorphic_zygomorphic","bright"
"16","Allium schoenoprasum","herbaceous","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual","superior","nectar","actinomorphic","bright"
"17","Allocasuarina verticillata","woody","non-climbing","dimorphic","long","outcrossing","abiotic","abiotic","unisexual",NA,"none",NA,"bright"
"18","Alluaudia procera","woody","non-climbing","dimorphic","long","outcrossing","biotic","abiotic","unisexual","superior",NA,"other","bright_dull"
"19","Alnus alnobetula","woody","non-climbing","monomorphic","long",NA,"abiotic","abiotic","unisexual","inferior","none","actinomorphic","dull"
"20","Aloe thraskii","woody","non-climbing","monomorphic","long",NA,"biotic",NA,"unisexual",NA,"nectar","zygomorphic","bright"
"21","Alphitonia excelsa","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","inferior","nectar","actinomorphic","bright_dull"
"22","Alseuosmia macrophylla","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","inferior","nectar","actinomorphic","bright"
"23","Alstroemeria aurea","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","inferior","nectar","zygomorphic","bright"
"24","Alyssum simplex","herbaceous","non-climbing","monomorphic","short","selfing","biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"25","Amborella trichopoda","woody","non-climbing","dimorphic","long","outcrossing","abiotic_biotic","autonomous_biotic","unisexual","superior","none_other","actinomorphic","bright"
"26","Amsonia tabernaemontana","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual","superior",NA,"actinomorphic","bright"
"27","Anarthria polyphylla","herbaceous","non-climbing","dimorphic","long","outcrossing","abiotic",NA,"unisexual","superior","none","actinomorphic","dull"
"28","Angelonia pubescens","herbaceous","non-climbing","monomorphic","short","selfing","biotic","biotic","bisexual","superior","other","zygomorphic","bright"
"29","Anigozanthos humilis","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic",NA,"unisexual",NA,"nectar","zygomorphic","bright"
"30","Annona crassiflora","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","superior","other","actinomorphic","bright_dull"
"31","Antirrhinum majus","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","superior","pollen","zygomorphic","bright"
"32","Apium graveolens","herbaceous","non-climbing","monomorphic","short",NA,"biotic","abiotic","bisexual","inferior","nectar","actinomorphic","bright"
"33","Aquilegia canadensis","herbaceous","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual","superior","nectar_pollen","actinomorphic","bright"
"34","Arabidopsis thaliana","herbaceous","non-climbing","monomorphic","short","selfing","autonomous_biotic","abiotic_autonomous","bisexual","superior","nectar","actinomorphic_other","bright"
"35","Aralidium pinnatifidum","woody","non-climbing","dimorphic","long","outcrossing",NA,NA,"unisexual","inferior",NA,"actinomorphic","bright"
"36","Arctostaphylos uva-ursi","woody","non-climbing","monomorphic","long",NA,"autonomous_biotic","biotic","bisexual","superior","nectar","actinomorphic","bright"
