"","species","outcrossing_rate"
"1","Abolboda pulchella",NA
"2","Achatocarpus praecox",NA
"3","Acorus calamus",NA
"4","Actinidia chinensis",NA
"5","Aerva javanica",NA
"6","Aextoxicon punctatum",NA
"7","Agalinis neoscotica","mixed"
"8","Ailanthus altissima",NA
"9","Ajuga reptans",NA
"10","Akebia quinata","outcrossing"
"11","Albizia julibrissin","outcrossing"
"12","Alepis flavida",NA
"13","Allanblackia floribunda",NA
"14","Allium sativum",NA
"15","Allium schoenoprasum","outcrossing"
"16","Allocasuarina verticillata",NA
"17","Alluaudia procera",NA
"18","Alnus alnobetula","outcrossing"
"19","Aloe thraskii","mixed"
"20","Alphitonia excelsa",NA
"21","Alseuosmia macrophylla",NA
"22","Alstroemeria aurea","mixed"
"23","Alyssum simplex",NA
"24","Amborella trichopoda",NA
"25","Amsonia tabernaemontana",NA
"26","Anarthria polyphylla",NA
"27","Angelonia pubescens",NA
"28","Anigozanthos humilis",NA
"29","Annona crassiflora","outcrossing"
"30","Antirrhinum majus",NA
"31","Apium graveolens","mixed"
"32","Aquilegia canadensis","mixed"
"33","Arabidopsis thaliana","selfing"
"34","Aralidium pinnatifidum",NA
"35","Arctostaphylos uva-ursi",NA
"36","Arum maculatum","outcrossing"
"37","Asparagus officinalis",NA
"38","Astelia alpina",NA
"39","Audouinia capitata",NA
"40","Avicennia marina","mixed"
"41","Azima tetracantha",NA
"42","Bagassa guianensis",NA
"43","Balanophora laxiflora",NA
"44","Balanops pancheri",NA
"45","Bdallophytum americanum",NA
"46","Begonia heracleifolia","mixed"
"47","Bergeranthus multiceps",NA
"48","Berteroa incana",NA
"49","Bertholletia excelsa",NA
"50","Beta vulgaris","mixed"
"51","Bixa orellana","mixed"
"52","Borago officinalis","selfing"
"53","Brasenia schreberi","mixed"
"54","Bretschneidera sinensis","mixed"
"55","Bruguiera gymnorhiza","mixed"
"56","Buddleja davidii","outcrossing"
"57","Bursera simaruba",NA
"58","Butomus umbellatus",NA
"59","Buxus balearica",NA
"60","Byrsonima crassifolia","selfing"
"61","Cabomba caroliniana",NA
"62","Calceolaria purpurea",NA
"63","Camellia sinensis",NA
"64","Canacomyrica monticola",NA
"65","Canna indica",NA
"66","Cannabis sativa",NA
"67","Capparis zeylanica",NA
"68","Cardiocrinum cordatum","mixed"
"69","Carex laxiflora","selfing"
"70","Carica papaya",NA
"71","Caryocar brasiliense","outcrossing"
"72","Catalpa speciosa",NA
"73","Catharanthus roseus","mixed"
"74","Caulophyllum thalictroides",NA
"75","Centroplacus glaucinus",NA
"76","Ceratophyllum demersum",NA
"77","Cercidiphyllum japonicum",NA
"78","Chimaphila umbellata","outcrossing"
"79","Chimonanthus praecox","mixed"
"80","Chloranthus spicatus",NA
"81","Chorispora tenella",NA
"82","Cinnamomum camphora","outcrossing"
"83","Clarkia xantiana","mixed"
"84","Claytonia virginica",NA
"85","Clethra alnifolia",NA
"86","Clutia pulchella",NA
"87","Cobaea scandens",NA
"88","Cochlospermum vitifolium",NA
"89","Coffea arabica","mixed"
"90","Combretum leprosum",NA
"91","Commelina communis",NA
"92","Cordyline australis",NA
"93","Coriaria myrtifolia",NA
"94","Coriaria ruscifolia",NA
"95","Cornus florida",NA
"96","Corokia cotoneaster",NA
"97","Corrigiola litoralis","selfing"
"98","Costus woodsonii",NA
"99","Cucurbita pepo",NA
"100","Cupaniopsis anacardioides",NA
"101","Curculigo latifolia",NA
"102","Cuscuta cuspidata",NA
"103","Cuttsia viburnea",NA
"104","Cyclanthus bipartitus",NA
"105","Cymodocea nodosa",NA
"106","Cypripedium calceolus","outcrossing"
"107","Cyrilla racemiflora",NA
"108","Dalechampia spathulata",NA
"109","Dalzellia ceylanica",NA
"110","Daphniphyllum macropodum",NA
"111","Datisca glomerata","mixed"
"112","Davidsonia jerseyana",NA
"113","Davilla kunthii",NA
"114","Denhamia celastroides",NA
"115","Diapensia lapponica","mixed"
"116","Diospyros australis",NA
"117","Dipterocarpus tempehes",NA
"118","Discaria americana",NA
"119","Drosophyllum lusitanicum",NA
"120","Dryas octopetala","mixed"
"121","Durio zibethinus",NA
"122","Eichhornia crassipes",NA
"123","Eriocaulon parkeri",NA
"124","Eriogonum arborescens","mixed"
"125","Erythroxylum laurifolium",NA
"126","Eschscholzia californica",NA
"127","Eupomatia bennettii",NA
"128","Eupomatia laurina",NA
"129","Fagus grandifolia","outcrossing"
"130","Ficaria verna",NA
"131","Filipendula vulgaris","outcrossing"
"132","Floerkea proserpinacoides",NA
"133","Fumana ericoides",NA
"134","Galium aparine",NA
"135","Gelsemium sempervirens",NA
"136","Gentiana saponaria",NA
"137","Geranium sanguineum",NA
"138","Gomortega keule","mixed"
"139","Gonocaryum litorale",NA
"140","Gossypium hirsutum","mixed"
"141","Grewia occidentalis",NA
"142","Griselinia racemosa",NA
"143","Gyrocarpus americanus",NA
"144","Hamamelis virginiana",NA
"145","Hanguana malayana",NA
"146","Hedychium gardnerianum",NA
"147","Helianthus annuus","mixed"
"148","Heliconia irrasa",NA
"149","Herniaria glabra",NA
"150","Hevea brasiliensis","mixed"
"151","Hirtella physophora",NA
"152","Hordeum bulbosum",NA
"153","Hydnocarpus heterophylla",NA
"154","Hydrastis canadensis",NA
"155","Hydrocotyle vulgaris",NA
"156","Hydrophyllum capitatum",NA
"157","Hypericum perforatum",NA
"158","Ilex opaca",NA
"159","Impatiens capensis",NA
"160","Ipomoea alba",NA
"161","Iris versicolor",NA
"162","Irvingbaileya australis",NA
"163","Juglans mandshurica","outcrossing"
"164","Juncus effusus","selfing"
"165","Kalanchoe daigremontiana",NA
"166","Kalmia latifolia","outcrossing"
"167","Kirengeshoma palmata",NA
"168","Kirkia wilmsii",NA
"169","Lactoris fernandeziana",NA
"170","Lantana camara",NA
"171","Lapageria rosea",NA
"172","Larrea tridentata","mixed"
"173","Lemna minor",NA
"174","Lepidobotrys staudtii",NA
"175","Limnanthes douglasii","outcrossing"
"176","Linum perenne",NA
"177","Liriodendron chinense","mixed"
"178","Loasa heterophylla",NA
"179","Lobelia angulata",NA
"180","Ludwigia adscendens",NA
"181","Lythrum salicaria",NA
"182","Malesherbia linearifolia",NA
"183","Malpighia emarginata","outcrossing"
"184","Manihot esculenta","outcrossing"
"185","Manilkara zapota","outcrossing"
"186","Marathrum rubrum","selfing"
"187","Mayaca fluviatilis",NA
"188","Mazus pumilus",NA
"189","Medicago sativa","outcrossing"
"190","Melocactus curvispinus",NA
"191","Menispermum canadense",NA
"192","Menyanthes trifoliata",NA
"193","Miconia affinis","outcrossing"
"194","Mirabilis jalapa",NA
"195","Misodendrum linearifolium",NA
"196","Mollugo verticillata",NA
"197","Monotropa hypopitys",NA
"198","Montinia caryophyllacea",NA
"199","Moringa oleifera","mixed"
"200","Myriophyllum sibiricum",NA
"201","Myristica fragrans","outcrossing"
"202","Myrothamnus moschata",NA
"203","Myrtus communis","mixed"
"204","Narthecium ossifragum",NA
"205","Nelumbo lutea","mixed"
"206","Nelumbo nucifera","outcrossing"
"207","Nemesia strumosa",NA
"208","Nepenthes macfarlanei",NA
"209","Nicotiana tabacum",NA
"210","Nolana humifusa",NA
"211","Nothapodytes nimmoniana","mixed"
"212","Nothofagus dombeyi","outcrossing"
"213","Nuphar advena",NA
"214","Nymphaea odorata",NA
"215","Nymphoides peltata","mixed"
"216","Nyssa ogeche",NA
