"","Species","Cluster"
"1","Achatocarpus_praecox","1"
"2","Acorus_calamus","2"
"3","Actinidia_chinensis","1"
"4","Aerva_javanica","1"
"5","Aextoxicon_punctatum","1"
"6","Agalinis_neoscotica","2"
"7","Ailanthus_altissima","1"
"8","Ajuga_reptans","1"
"9","Akebia_quinata","2"
"10","Albizia_julibrissin","2"
"11","Alepis_flavida","2"
"12","Allanblackia_floribunda","2"
"13","Allium_sativum","2"
"14","Alluaudia_procera","1"
"15","Alnus_alnobetula","1"
"16","Aloe_thraskii","2"
"17","Alphitonia_excelsa","2"
"18","Alstroemeria_aurea","2"
"19","Alyssum_simplex","2"
"20","Amborella_trichopoda","1"
"21","Amsonia_tabernaemontana","2"
"22","Anarthria_polyphylla","1"
"23","Angelonia_pubescens","2"
"24","Anigozanthos_humilis","2"
"25","Annona_crassiflora","2"
"26","Antirrhinum_majus","2"
"27","Apium_graveolens","2"
"28","Aquilegia_canadensis","2"
"29","Arabidopsis_thaliana","2"
"30","Aralidium_pinnatifidum","1"
"31","Arctostaphylos_uvaursi","2"
"32","Arum_maculatum","2"
"33","Asparagus_officinalis","1"
"34","Astelia_alpina","1"
"35","Avicennia_marina","2"
"36","Azima_tetracantha","1"
"37","Bagassa_guianensis","1"
"38","Balanophora_laxiflora","1"
"39","Balanops_pancheri","1"
"40","Bdallophytum_americanum","1"
"41","Begonia_heracleifolia","2"
"42","Berteroa_incana","2"
"43","Bertholletia_excelsa","2"
"44","Beta_vulgaris","1"
"45","Bixa_orellana","2"
"46","Borago_officinalis","2"
"47","Brasenia_schreberi","2"
"48","Bretschneidera_sinensis","2"
"49","Bruguiera_gymnorhiza","2"
"50","Buddleja_davidii","2"
"51","Bursera_simaruba","1"
"52","Butomus_umbellatus","2"
"53","Byrsonima_crassifolia","2"
"54","Cabomba_caroliniana","2"
"55","Calceolaria_purpurea","2"
"56","Camellia_sinensis","2"
"57","Canacomyrica_monticola","1"
"58","Canna_indica","2"
"59","Cardiocrinum_cordatum","2"
"60","Carica_papaya","1"
"61","Caryocar_brasiliense","2"
"62","Catalpa_speciosa","2"
"63","Catharanthus_roseus","2"
"64","Caulophyllum_thalictroides","2"
"65","Centroplacus_glaucinus","1"
"66","Ceratophyllum_demersum","1"
"67","Cercidiphyllum_japonicum","1"
"68","Chimaphila_umbellata","2"
"69","Chimonanthus_praecox","2"
"70","Chorispora_tenella","2"
"71","Cinnamomum_camphora","2"
"72","Clarkia_xantiana","2"
"73","Claytonia_virginica","2"
"74","Clethra_alnifolia","2"
"75","Clutia_pulchella","1"
"76","Cobaea_scandens","2"
"77","Cochlospermum_vitifolium","2"
"78","Coffea_arabica","2"
"79","Combretum_leprosum","2"
"80","Commelina_communis","2"
"81","Cordyline_australis","2"
"82","Coriaria_myrtifolia","2"
"83","Coriaria_ruscifolia","2"
"84","Cornus_florida","2"
"85","Corrigiola_litoralis","2"
"86","Cucurbita_pepo","2"
"87","Cupaniopsis_anacardioides","1"
"88","Curculigo_latifolia","2"
"89","Cuscuta_cuspidata","2"
"90","Cuttsia_viburnea","2"
"91","Cyclanthus_bipartitus","2"
"92","Cymodocea_nodosa","1"
"93","Cypripedium_calceolus","2"
"94","Cyrilla_racemiflora","2"
"95","Dalechampia_spathulata","1"
"96","Dalzellia_ceylanica","2"
"97","Daphniphyllum_macropodum","1"
"98","Datisca_glomerata","1"
"99","Davilla_kunthii","2"
"100","Denhamia_celastroides","2"
"101","Diapensia_lapponica","2"
"102","Diospyros_australis","1"
"103","Dipterocarpus_tempehes","2"
"104","Discaria_americana","2"
"105","Drosophyllum_lusitanicum","2"
"106","Dryas_octopetala","2"
"107","Durio_zibethinus","2"
"108","Eichhornia_crassipes","2"
"109","Eriocaulon_parkeri","2"
"110","Eriogonum_arborescens","2"
"111","Eschscholzia_californica","2"
"112","Eupomatia_bennettii","2"
"113","Eupomatia_laurina","2"
"114","Fagus_grandifolia","1"
"115","Ficaria_verna","2"
"116","Filipendula_vulgaris","2"
"117","Floerkea_proserpinacoides","2"
"118","Galium_aparine","2"
"119","Gentiana_saponaria","2"
"120","Geranium_sanguineum","2"
"121","Gomortega_keule","2"
"122","Gonocaryum_litorale","1"
"123","Gossypium_hirsutum","2"
"124","Grewia_occidentalis","2"
"125","Griselinia_racemosa","1"
"126","Gyrocarpus_americanus","2"
"127","Hamamelis_virginiana","2"
"128","Hanguana_malayana","1"
"129","Hedychium_gardnerianum","2"
"130","Helianthus_annuus","2"
"131","Heliconia_irrasa","2"
"132","Herniaria_glabra","2"
"133","Hevea_brasiliensis","2"
"134","Hirtella_physophora","2"
"135","Hordeum_bulbosum","2"
"136","Hydnocarpus_heterophylla","1"
"137","Hydrastis_canadensis","2"
"138","Hydrocotyle_vulgaris","2"
"139","Hydrophyllum_capitatum","2"
"140","Hypericum_perforatum","2"
"141","Ilex_opaca","1"
"142","Impatiens_capensis","2"
"143","Ipomoea_alba","2"
"144","Iris_versicolor","2"
"145","Irvingbaileya_australis","1"
"146","Juglans_mandshurica","1"
"147","Juncus_effusus","2"
"148","Kalanchoe_daigremontiana","2"
"149","Kalmia_latifolia","2"
"150","Kirengeshoma_palmata","2"
"151","Kirkia_wilmsii","1"
"152","Lactoris_fernandeziana","2"
"153","Lantana_camara","2"
"154","Lapageria_rosea","2"
"155","Larrea_tridentata","2"
"156","Lemna_minor","2"
"157","Lepidobotrys_staudtii","1"
"158","Limnanthes_douglasii","2"
"159","Linum_perenne","2"
"160","Liriodendron_chinense","2"
"161","Loasa_heterophylla","2"
"162","Lobelia_angulata","1"
"163","Ludwigia_adscendens","2"
"164","Lythrum_salicaria","2"
"165","Malesherbia_linearifolia","2"
"166","Malpighia_emarginata","2"
"167","Manihot_esculenta","2"
"168","Manilkara_zapota","2"
"169","Marathrum_rubrum","2"
"170","Mayaca_fluviatilis","2"
"171","Mazus_pumilus","2"
"172","Medicago_sativa","2"
"173","Melocactus_curvispinus","2"
"174","Menispermum_canadense","1"
"175","Menyanthes_trifoliata","2"
"176","Miconia_affinis","1"
"177","Mirabilis_jalapa","2"
"178","Misodendrum_linearifolium","1"
"179","Mollugo_verticillata","2"
"180","Monotropa_hypopitys","2"
"181","Montinia_caryophyllacea","1"
"182","Moringa_oleifera","2"
"183","Myriophyllum_sibiricum","2"
"184","Myristica_fragrans","1"
"185","Myrothamnus_moschata","1"
"186","Myrtus_communis","2"
"187","Narthecium_ossifragum","2"
"188","Nelumbo_lutea","2"
"189","Nelumbo_nucifera","2"
"190","Nemesia_strumosa","2"
"191","Nepenthes_macfarlanei","1"
"192","Nicotiana_tabacum","2"
"193","Nolana_humifusa","2"
"194","Nothofagus_dombeyi","1"
"195","Nuphar_advena","2"
"196","Nymphaea_odorata","2"
"197","Nymphoides_peltata","2"
"198","Nyssa_ogeche","1"
"199","Ochroma_pyramidale","2"
"200","Octoknema_borealis","1"
"201","Octomeles_sumatrana","1"
"202","Olea_europaea","2"
"203","Oryza_sativa","2"
"204","Ottelia_acuminata","1"
"205","Oxalis_corniculata","2"
"206","Paeonia_californica","2"
"207","Panax_quinquefolius","2"
"208","Pandanus_tectorius","1"
"209","Pennantia_corymbosa","1"
"210","Peritoma_arborea","2"
"211","Perrottetia_ovata","1"
"212","Petunia_axillaris","2"
"213","Peumus_boldus","1"
"214","Phelline_comosa","1"
"215","Phoenix_dactylifera","1"
"216","Phragmites_australis","2"
"217","Phryma_leptostachya","2"
"218","Phyllanthus_niruri","2"
"219","Physena_madagascariensis","1"
"220","Picramnia_polyantha","1"
"221","Piper_amalago","2"
"222","Pittosporum_dasycaulon","1"
"223","Plantago_lanceolata","1"
"224","Platea_latifolia","1"
"225","Plocosperma_buxifolium","1"
"226","Plumbago_auriculata","2"
"227","Podophyllum_peltatum","2"
"228","Poeppigia_procera","2"
"229","Polycarpon_tetraphyllum","2"
"230","Polygala_lewtonii","2"
"231","Populus_alba","1"
"232","Portulaca_oleracea","2"
"233","Posidonia_australis","2"
"234","Posoqueria_latifolia","2"
"235","Potamogeton_berchtoldii","1"
"236","Primula_sieboldii","2"
"237","Prionotes_cerinthoides","2"
"238","Prunus_persica","2"
"239","Putranjiva_roxburghii","1"
"240","Qualea_grandiflora","2"
"241","Quercus_rubra","1"
"242","Quinchamalium_chilense","2"
"243","Rafflesia_keithii","1"
"244","Ranunculus_acris","2"
"245","Ravenala_madagascariensis","2"
"246","Rhizophora_stylosa","2"
"247","Ribes_aureum","2"
"248","Roridula_dentata","2"
"249","Roridula_gorgonias","2"
"250","Roupala_montana","2"
"251","Ruta_graveolens","2"
"252","Sagina_procumbens","2"
"253","Sagittaria_latifolia","1"
"254","Salpiglossis_sinuata","2"
"255","Sarracenia_purpurea","2"
"256","Sauvagesia_rhodoleuca","2"
"257","Saxifraga_cernua","2"
"258","Schinus_molle","1"
"259","Schisandra_chinensis","2"
"260","Schizanthus_grahamii","2"
"261","Scleranthus_annuus","2"
"262","Sesamum_indicum","2"
"263","Sextonia_rubra","2"
"264","Silene_vulgaris","2"
"265","Simmondsia_chinensis","1"
"266","Sinojackia_xylocarpa","2"
"267","Solanum_dulcamara","2"
"268","Spergularia_marina","2"
"269","Spiranthes_cernua","2"
"270","Spondias_tuberosa","2"
"271","Staphylea_trifolia","2"
"272","Stellaria_media","2"
"273","Sterculia_apetala","2"
"274","Stylidium_graminifolium","2"
"275","Swietenia_macrophylla","2"
"276","Syringa_vulgaris","2"
"277","Tacca_chantrieri","2"
"278","Tacca_leontopetaloides","2"
"279","Talinum_paniculatum","2"
"280","Tectona_grandis","2"
"281","Tetracentron_sinense","2"
"282","Tetroncium_magellanicum","1"
"283","Thalictrum_minus","2"
"284","Theobroma_cacao","2"
"285","Thymelaea_hirsuta","1"
"286","Titanotrichum_oldhamii","2"
"287","Trachelium_caeruleum","2"
"288","Tragopogon_dubius","2"
"289","Tribulus_terrestris","2"
"290","Trichilia_emetica","1"
"291","Trillium_erectum","2"
"292","Trochocarpa_laurina","2"
"293","Tropaeolum_majus","2"
"294","Tropaeolum_tricolor","2"
"295","Turnera_ulmifolia","2"
"296","Typha_latifolia","2"
"297","Urtica_dioica","1"
"298","Vaccinium_uliginosum","2"
"299","Valeriana_officinalis","2"
"300","Verbascum_thapsus","2"
"301","Veronica_anagallisaquatica","2"
"302","Viburnum_rufidulum","2"
"303","Viola_pubescens","2"
"304","Viviania_marifolia","2"
"305","Vriesea_carinata","2"
"306","Warburgia_ugandensis","2"
"307","Wurmbea_biglandulosa","2"
"308","Xanthosoma_sagittifolium","2"
"309","Ximenia_americana","2"
"310","Zea_mays","1"
"311","Zelkova_serrata","2"
"312","Zostera_marina","2"
