Species,n2,n5
Achatocarpus_praecox,0,0
Acorus_calamus,1,1
Actinidia_chinensis,0,0
Aerva_javanica,0,0
Aextoxicon_punctatum,0,0
Agalinis_neoscotica,1,2
Ailanthus_altissima,0,0
Ajuga_reptans,0,3
Akebia_quinata,1,4
Albizia_julibrissin,1,3
Alepis_flavida,1,4
Allanblackia_floribunda,1,4
Allium_sativum,1,3
Alluaudia_procera,0,0
Alnus_alnobetula,0,0
Aloe_thraskii,1,4
Alphitonia_excelsa,1,4
Alstroemeria_aurea,1,1
Alyssum_simplex,1,2
Amborella_trichopoda,0,0
Amsonia_tabernaemontana,1,1
Anarthria_polyphylla,0,0
Angelonia_pubescens,1,2
Anigozanthos_humilis,1,1
Annona_crassiflora,1,4
Antirrhinum_majus,1,1
Apium_graveolens,1,2
Aquilegia_canadensis,1,1
Arabidopsis_thaliana,1,2
Aralidium_pinnatifidum,0,0
Arctostaphylos_uvaursi,1,4
Arum_maculatum,1,3
Asparagus_officinalis,0,0
Astelia_alpina,0,3
Avicennia_marina,1,4
Azima_tetracantha,0,0
Bagassa_guianensis,0,0
Balanophora_laxiflora,0,0
Balanops_pancheri,0,0
Bdallophytum_americanum,0,0
Begonia_heracleifolia,1,1
Berteroa_incana,1,2
Bertholletia_excelsa,1,1
Beta_vulgaris,0,0
Bixa_orellana,1,4
Borago_officinalis,1,2
Brasenia_schreberi,1,3
Bretschneidera_sinensis,1,4
Bruguiera_gymnorhiza,1,4
Buddleja_davidii,1,4
Bursera_simaruba,0,4
Butomus_umbellatus,1,1
Byrsonima_crassifolia,1,4
Cabomba_caroliniana,1,1
Calceolaria_purpurea,1,1
Camellia_sinensis,1,4
Canacomyrica_monticola,0,0
Canna_indica,1,1
Cardiocrinum_cordatum,1,1
Carica_papaya,0,0
Caryocar_brasiliense,1,4
Catalpa_speciosa,1,1
Catharanthus_roseus,1,4
Caulophyllum_thalictroides,1,1
Centroplacus_glaucinus,0,0
Ceratophyllum_demersum,0,3
Cercidiphyllum_japonicum,0,0
Chimaphila_umbellata,1,4
Chimonanthus_praecox,1,4
Chorispora_tenella,1,2
Cinnamomum_camphora,1,4
Clarkia_xantiana,1,2
Claytonia_virginica,1,1
Clethra_alnifolia,1,4
Clutia_pulchella,0,0
Cobaea_scandens,1,4
Cochlospermum_vitifolium,1,4
Coffea_arabica,1,4
Combretum_leprosum,1,4
Commelina_communis,1,2
