"","species","clust","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass_merge.Seed_weight","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_mode_abiotic","Dispersal_mode_autonomous","Dispersal_mode_biotic","Dispersal_dist_long","Dispersal_dist_short","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"1","Abolboda pulchella",1,-3.67945830118799,-2.82418394881254,-2.37737373841529,NA,NA,-2.33829381606475,NA,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1",NA,NA,NA,NA,NA,"1","0","1","0","0","0","0","0","1","1","0"
"2","Achatocarpus praecox",2,NA,-1.15020751524086,-4.73822773953331,-1.09101083076309,1.07870894414484,-2.25825110839121,NA,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1",NA,NA,NA,NA,"1","0","0","1","1"
"3","Acorus calamus",1,-1.91586970892663,-2.13103676825259,-3.23415034275704,-0.685545722654928,1.07870894414484,-2.87729031679743,-6.69186127216151,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","1","1","1"
"4","Actinidia chinensis",2,-0.866047584427954,1.1206288794386,-2.0301775384311,1.58313781866344,1.07870894414484,-0.188471477623111,-7.53558131120083,"0","1","1","0","0","1","1","0","1","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0","1","0","1","1","0","0","1","0"
"5","Aerva javanica",2,-2.47548549686205,-2.31335832504655,-4.73822773953331,-0.867867279448883,1.07870894414484,-3.43690610473286,-9.24345929644818,"1","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1",NA,NA,NA,NA,"1","0","0","1","0"
"6","Aextoxicon punctatum",2,NA,-2.21804814524222,-4.04508055897337,-1.78415801132304,NA,-2.05061174361296,-2.22099082305395,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1",NA,NA,NA,NA,"1","0","0","1","0"
"7","Agalinis neoscotica",3,NA,-2.53650187636076,NA,-1.09101083076309,NA,-1.6877062499236,NA,"1","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1",NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"0","0","1","1","0"
"8","Ailanthus altissima",2,0.9257118848001,-1.6202111444866,-4.73822773953331,-0.174720098888937,NA,-2.05061174361296,-4.6297053667687,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1"
"9","Ainsliaea cordifolia",1,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","1","0","0","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"10","Ajuga reptans",1,-3.76646967817762,-2.53650187636076,NA,-1.09101083076309,1.07870894414484,-1.58845129182826,-7.69077420060653,"1","0","0","1","0","1","1","1","1","0",NA,NA,NA,"0","0","1","0","0","1","0","1","1","1","1","0","0","1","0","0","1","1","0"
