"","names.state_freqs.","state_freqs"
"1","(0) tree",109
"2","(1) shrub",89
"3","(2) liana",7
"4","(3) herb",141
"5","(4) vine",11
"6","(5) aquatic herb",26
"7","(0) tree",109
"8","(1) shrub",89
"9","(2) liana",7
"10","(3) herb",141
"11","(4) vine",11
"12","(5) aquatic herb",26
"13","(0) bisexual",225
"14","(1) monoecious",43
"15","(2) dioecious",68
"16","(3) gynomonoecious",2
"17","(4) gynodioecious",7
"18","(5) andromonoecious",12
"19","(6) androdioecious",2
"20","(7) trimonoecious",2
"21","(8) polygamous",2
"22","(0) annual",55
"23","(0) tree",109
"24","(1) biennial",10
"25","(2) perennial (undetermined)",163
"26","(3) monocarpic perennial",4
"27","(4) polycarpic perennial",113
"28","(0) (predominantly) selfing",27
"29","(1) (predominantly) outcrossing",30
"30","(1) gametophytic self-incompatible",8
"31","(2) dioecious",68
"32","(2) mixed",18
"33","(2) sporophytic self-incompatible",3
"34","(3) apomixis",3
"35","(3) undetermined self-incompatible",82
"36","(0) wind",43
"37","(1) water",7
"38","(2) bee",139
"39","(3) beetle",27
"40","(4) butterfly",22
"41","(5) moth",15
"42","(7) fly",65
"43","(8) wasp",8
"44","(9) insect (other)",31
"45","(A) bird",25
"46","(B) bat",6
"47","(C) nonflying mammal",2
"48","(G) insect (general)",34
"49","(H) autonomous",17
"50","(0) unassisted dispersal",40
"51","(1) anemochory",32
"52","(2) endo-zoochory",49
"53","(3) exo-zoochory",15
"54","(4) hoarding",6
"55","(5) myrmecochory",12
"56","(6) hydrochory",32
"57","(7) ballistochory",10
"58","(0) bisexual",248
"59","(1) incompletely unisexual",47
"60","(2) unisexual",92
"61","(0) superior",220
"62","(1) inferior",67
"63","(2) half-inferior",12
"64","(4) 1/4-inferior or less",4
"65","(0) none",6
"66","(1) pollen",68
"67","(2) nectar",125
"68","(4) oil",4
"69","(5) nursery",5
"70","(6) food bodies",1
"71","(7) perfume",10
"72","(9) heat",3
"73","(0) actinomorphic (strictly polysymmetric)",170
"74","(1) actinomorphic spiral",6
"75","(2) zygomorphic",56
"76","(3) disymmetric",5
"77","(4) asymmetric",5
"78","(5) actinomorphic (general)",41
"79","(6) actinomorphic rotational",3
"80","(0) yellow",93
"81","(1) green",44
"82","(2) cream",28
"83","(3) white",120
"84","(4) pink",53
"85","(5) brown",11
"86","(6) purple",43
"87","(7) red",41
"88","(8) grey",2
"89","(9) blue",18
"90","(A) orange",18
