"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9"
"cluster.number",2,3,4,5,6,7,8,9,10
"n",331,331,331,331,331,331,331,331,331
"within.cluster.ss",17.46,14.48,12.88,11.71,10.98,10.4,9.84,9.37,8.92
"average.within",0.3,0.27,0.25,0.24,0.23,0.23,0.22,0.22,0.21
"average.between",0.44,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38
"wb.ratio",0.68,0.67,0.63,0.61,0.59,0.58,0.57,0.56,0.55
"dunn2",1.43,1.09,0.99,0.91,0.91,1.01,0.93,0.77,0.77
"avg.silwidth",0.32,0.23,0.25,0.24,0.25,0.26,0.24,0.21,0.22
"Cluster- 1  size",229,129,129,90,90,90,59,59,59
"Cluster- 2  size",102,102,73,73,60,60,60,60,60
"Cluster- 3  size",0,100,100,39,39,39,31,31,31
"Cluster- 4  size",0,0,29,100,13,13,39,39,25
"Cluster- 5  size",0,0,0,29,100,100,13,13,13
"Cluster- 6  size",0,0,0,0,29,17,100,69,69
"Cluster- 7  size",0,0,0,0,0,12,17,31,31
"Cluster- 8  size",0,0,0,0,0,0,12,17,17
"Cluster- 9  size",0,0,0,0,0,0,0,12,12
"Cluster- 10  size",0,0,0,0,0,0,0,0,14
