"","Test 1","Test 2","Test 3","Test 4","Test 5","Test 6","Test 7","Test 8","Test 9"
"cluster.number",2,3,4,5,6,7,8,9,10
"n",360,360,360,360,360,360,360,360,360
"within.cluster.ss",12.79,10.77,8.96,7.76,7.29,6.9,6.55,6.26,5.98
"average.within",0.24,0.22,0.2,0.19,0.18,0.18,0.17,0.17,0.16
"average.between",0.36,0.36,0.32,0.32,0.32,0.31,0.31,0.31,0.31
"wb.ratio",0.68,0.63,0.62,0.59,0.58,0.57,0.55,0.54,0.53
"dunn2",1.34,1.26,0.95,0.89,0.92,0.87,0.82,0.82,0.82
"avg.silwidth",0.31,0.3,0.23,0.24,0.24,0.23,0.22,0.22,0.21
"Cluster- 1  size",254,254,161,86,86,51,32,32,32
"Cluster- 2  size",106,63,63,63,63,63,63,51,51
"Cluster- 3  size",0,43,93,75,75,75,75,75,24
"Cluster- 4  size",0,0,43,93,93,35,35,12,12
"Cluster- 5  size",0,0,0,43,16,93,93,35,51
"Cluster- 6  size",0,0,0,0,27,16,16,93,35
"Cluster- 7  size",0,0,0,0,0,27,19,16,93
"Cluster- 8  size",0,0,0,0,0,0,27,19,16
"Cluster- 9  size",0,0,0,0,0,0,0,27,19
"Cluster- 10  size",0,0,0,0,0,0,0,0,27
