"","Species","Cluster"
"170","Achatocarpus_praecox",1
"252","Acorus_calamus",2
"151","Actinidia_chinensis",1
"171","Aerva_javanica",1
"161","Aextoxicon_punctatum",1
"69","Ailanthus_altissima",1
"92","Ajuga_reptans",4
"197","Akebia_quinata",5
"41","Albizia_julibrissin",4
"188","Alepis_flavida",5
"15","Allanblackia_floribunda",5
"165","Alluaudia_procera",1
"32","Alnus_alnobetula",1
"227","Aloe_thraskii",5
"39","Alphitonia_excelsa",5
"234","Alstroemeria_aurea",2
"46","Alyssum_simplex",3
"271","Amborella_trichopoda",1
"220","Anarthria_polyphylla",1
"104","Angelonia_pubescens",3
"210","Anigozanthos_humilis",2
"263","Annona_crassiflora",5
"103","Antirrhinum_majus",2
"133","Apium_graveolens",3
"202","Aquilegia_canadensis",2
"49","Arabidopsis_thaliana",3
"131","Aralidium_pinnatifidum",1
"251","Arum_maculatum",4
"229","Asparagus_officinalis",1
"225","Astelia_alpina",4
"96","Avicennia_marina",5
"50","Azima_tetracantha",1
"36","Bagassa_guianensis",1
"189","Balanophora_laxiflora",1
"6","Balanops_pancheri",1
"23","Begonia_heracleifolia",2
"47","Berteroa_incana",3
"140","Bertholletia_excelsa",2
"172","Beta_vulgaris",1
"63","Bixa_orellana",5
"91","Borago_officinalis",3
"269","Brasenia_schreberi",4
"53","Bretschneidera_sinensis",5
"8","Bruguiera_gymnorhiza",5
"100","Buddleja_davidii",5
"67","Bursera_simaruba",5
"246","Butomus_umbellatus",2
"12","Byrsonima_crassifolia",5
"270","Cabomba_caroliniana",2
"142","Camellia_sinensis",5
"31","Canacomyrica_monticola",1
"213","Canna_indica",2
"235","Cardiocrinum_cordatum",2
"51","Carica_papaya",1
"97","Catalpa_speciosa",2
"112","Catharanthus_roseus",5
"205","Caulophyllum_thalictroides",2
"11","Centroplacus_glaucinus",1
"206","Ceratophyllum_demersum",4
"89","Cercidiphyllum_japonicum",1
"147","Chimaphila_umbellata",5
"258","Chimonanthus_praecox",5
"48","Chorispora_tenella",3
"253","Cinnamomum_camphora",5
"164","Claytonia_virginica",2
"149","Clethra_alnifolia",5
"1","Clutia_pulchella",1
"143","Cobaea_scandens",5
"62","Cochlospermum_vitifolium",5
"110","Coffea_arabica",5
"208","Commelina_communis",3
"228","Cordyline_australis",5
"27","Coriaria_myrtifolia",4
"26","Coriaria_ruscifolia",5
"158","Cornus_florida",5
"173","Corrigiola_litoralis",3
"22","Cucurbita_pepo",3
"68","Cupaniopsis_anacardioides",5
"127","Cuttsia_viburnea",5
"240","Cyclanthus_bipartitus",5
"243","Cymodocea_nodosa",4
"231","Cypripedium_calceolus",2
"150","Cyrilla_racemiflora",5
"2","Dalechampia_spathulata",5
"88","Daphniphyllum_macropodum",1
"24","Datisca_glomerata",4
"190","Davilla_kunthii",2
"21","Denhamia_celastroides",5
"155","Diapensia_lapponica",5
"139","Diospyros_australis",1
"183","Drosophyllum_lusitanicum",5
"34","Dryas_octopetala",5
"61","Durio_zibethinus",5
"209","Eichhornia_crassipes",3
"182","Eriogonum_arborescens",5
"196","Eschscholzia_californica",3
"261","Eupomatia_bennettii",5
"262","Eupomatia_laurina",5
"201","Ficaria_verna",2
"33","Filipendula_vulgaris",2
"109","Galium_aparine",3
"82","Geranium_sanguineum",2
"257","Gomortega_keule",5
"138","Gonocaryum_litorale",1
"60","Gossypium_hirsutum",3
"57","Grewia_occidentalis",5
"132","Griselinia_racemosa",1
"256","Gyrocarpus_americanus",4
"87","Hamamelis_virginiana",5
"207","Hanguana_malayana",1
"214","Hedychium_gardnerianum",2
"122","Helianthus_annuus",3
"212","Heliconia_irrasa",2
"175","Herniaria_glabra",3
"3","Hevea_brasiliensis",5
"7","Hirtella_physophora",5
"218","Hordeum_bulbosum",2
"199","Hydrastis_canadensis",2
"135","Hydrocotyle_vulgaris",2
"14","Hypericum_perforatum",2
"136","Ilex_opaca",1
"156","Impatiens_capensis",3
"120","Ipomoea_alba",3
"226","Iris_versicolor",2
"137","Irvingbaileya_australis",1
"30","Juglans_mandshurica",1
"221","Juncus_effusus",3
"83","Kalanchoe_daigremontiana",3
"144","Kalmia_latifolia",5
"160","Kirengeshoma_palmata",2
"72","Kirkia_wilmsii",1
"265","Lactoris_fernandeziana",4
"99","Lantana_camara",5
"45","Larrea_tridentata",5
"249","Lemna_minor",3
"20","Lepidobotrys_staudtii",1
"5","Linum_perenne",2
"260","Liriodendron_chinense",5
"159","Loasa_heterophylla",2
"80","Ludwigia_adscendens",2
"79","Lythrum_salicaria",2
"17","Malesherbia_linearifolia",2
"13","Malpighia_emarginata",2
"4","Manihot_esculenta",4
"141","Manilkara_zapota",5
"222","Mayaca_fluviatilis",2
"95","Mazus_pumilus",3
"40","Medicago_sativa",2
"168","Melocactus_curvispinus",2
"198","Menispermum_canadense",1
"125","Menyanthes_trifoliata",2
"76","Miconia_affinis",5
"163","Mirabilis_jalapa",3
"187","Misodendrum_linearifolium",1
"169","Mollugo_verticillata",3
"148","Monotropa_hypopitys",2
"113","Montinia_caryophyllacea",1
"52","Moringa_oleifera",5
"84","Myriophyllum_sibiricum",4
"259","Myristica_fragrans",1
"191","Myrothamnus_moschata",1
"78","Myrtus_communis",5
"238","Narthecium_ossifragum",4
"194","Nelumbo_lutea",2
"195","Nelumbo_nucifera",2
"101","Nemesia_strumosa",3
"184","Nepenthes_macfarlanei",1
"117","Nicotiana_tabacum",3
"115","Nolana_humifusa",3
"28","Nothofagus_dombeyi",1
"268","Nuphar_advena",2
"267","Nymphaea_odorata",2
"124","Nymphoides_peltata",3
"157","Nyssa_ogeche",1
"59","Ochroma_pyramidale",5
"25","Octomeles_sumatrana",1
"106","Olea_europaea",4
"219","Oryza_sativa",3
"247","Ottelia_acuminata",1
"90","Paeonia_californica",2
"134","Panax_quinquefolius",4
"239","Pandanus_tectorius",1
"130","Pennantia_corymbosa",1
"64","Perrottetia_ovata",1
"118","Petunia_axillaris",3
"255","Peumus_boldus",1
"215","Phoenix_dactylifera",1
"216","Phragmites_australis",4
"94","Phryma_leptostachya",2
"10","Phyllanthus_niruri",3
"74","Picramnia_polyantha",1
"264","Piper_amalago",5
"102","Plantago_lanceolata",4
"121","Platea_latifolia",1
"108","Plocosperma_buxifolium",1
"181","Plumbago_auriculata",5
"204","Podophyllum_peltatum",2
"42","Poeppigia_procera",5
"174","Polycarpon_tetraphyllum",3
"43","Polygala_lewtonii",2
"19","Populus_alba",1
"167","Portulaca_oleracea",3
"242","Posidonia_australis",4
"111","Posoqueria_latifolia",5
"244","Potamogeton_berchtoldii",1
"146","Prionotes_cerinthoides",2
"35","Prunus_persica",5
"77","Qualea_grandiflora",2
"29","Quercus_rubra",1
"186","Quinchamalium_chilense",2
"200","Ranunculus_acris",2
"211","Ravenala_madagascariensis",5
"9","Rhizophora_stylosa",5
"86","Ribes_aureum",5
"152","Roridula_gorgonias",5
"193","Roupala_montana",5
"73","Ruta_graveolens",5
"179","Sagina_procumbens",2
"248","Sagittaria_latifolia",1
"119","Salpiglossis_sinuata",3
"153","Sarracenia_purpurea",2
"85","Saxifraga_cernua",2
"65","Schinus_molle",1
"266","Schisandra_chinensis",4
"114","Schizanthus_grahamii",3
"180","Scleranthus_annuus",3
"98","Sesamum_indicum",3
"254","Sextonia_rubra",5
"177","Silene_vulgaris",4
"162","Simmondsia_chinensis",1
"154","Sinojackia_xylocarpa",5
"116","Solanum_dulcamara",2
"176","Spergularia_marina",3
"230","Spiranthes_cernua",2
"66","Spondias_tuberosa",5
"75","Staphylea_trifolia",5
"178","Stellaria_media",3
"58","Sterculia_apetala",4
"71","Swietenia_macrophylla",5
"107","Syringa_vulgaris",5
"236","Tacca_chantrieri",5
"237","Tacca_leontopetaloides",2
"166","Talinum_paniculatum",2
"93","Tectona_grandis",5
"192","Tetracentron_sinense",5
"241","Tetroncium_magellanicum",1
"203","Thalictrum_minus",4
"56","Theobroma_cacao",5
"55","Thymelaea_hirsuta",1
"105","Titanotrichum_oldhamii",2
"126","Trachelium_caeruleum",2
"123","Tragopogon_dubius",3
"44","Tribulus_terrestris",3
"70","Trichilia_emetica",1
"232","Trillium_erectum",4
"54","Tropaeolum_majus",3
"18","Turnera_ulmifolia",5
"224","Typha_latifolia",4
"37","Urtica_dioica",1
"145","Vaccinium_uliginosum",5
"129","Valeriana_officinalis",2
"128","Viburnum_rufidulum",5
"16","Viola_pubescens",2
"81","Viviania_marifolia",2
"223","Vriesea_carinata",3
"233","Wurmbea_biglandulosa",4
"250","Xanthosoma_sagittifolium",4
"185","Ximenia_americana",5
"217","Zea_mays",1
"38","Zelkova_serrata",4
"245","Zostera_marina",4
