"","Species","Cluster"
"1","Achatocarpus praecox","1"
"2","Acorus calamus","2"
"3","Actinidia chinensis","1"
"4","Aerva javanica","1"
"5","Aextoxicon punctatum","1"
"6","Agalinis neoscotica","2"
"7","Ailanthus altissima","1"
"8","Ajuga reptans","1"
"9","Akebia quinata","2"
"10","Albizia julibrissin","2"
"11","Alepis flavida","2"
"12","Allanblackia floribunda","2"
"13","Allium sativum","2"
"14","Alluaudia procera","1"
"15","Alnus alnobetula","1"
"16","Aloe thraskii","2"
"17","Alphitonia excelsa","2"
"18","Alstroemeria aurea","2"
"19","Alyssum simplex","2"
"20","Amborella trichopoda","1"
"21","Amsonia tabernaemontana","2"
"22","Anarthria polyphylla","1"
"23","Angelonia pubescens","2"
"24","Anigozanthos humilis","2"
"25","Annona crassiflora","2"
"26","Antirrhinum majus","2"
"27","Apium graveolens","2"
"28","Aquilegia canadensis","2"
"29","Arabidopsis thaliana","2"
"30","Aralidium pinnatifidum","1"
"31","Arctostaphylos uvaursi","2"
"32","Arum maculatum","2"
"33","Asparagus officinalis","1"
"34","Astelia alpina","1"
"35","Avicennia marina","2"
"36","Azima tetracantha","1"
"37","Bagassa guianensis","1"
"38","Balanophora laxiflora","1"
"39","Balanops pancheri","1"
"40","Bdallophytum americanum","1"
"41","Begonia heracleifolia","2"
"42","Berteroa incana","2"
"43","Bertholletia excelsa","2"
"44","Beta vulgaris","1"
"45","Bixa orellana","2"
"46","Borago officinalis","2"
"47","Brasenia schreberi","2"
"48","Bretschneidera sinensis","2"
"49","Bruguiera gymnorhiza","2"
"50","Buddleja davidii","2"
"51","Bursera simaruba","1"
"52","Butomus umbellatus","2"
"53","Byrsonima crassifolia","2"
"54","Cabomba caroliniana","2"
"55","Calceolaria purpurea","2"
"56","Camellia sinensis","2"
"57","Canacomyrica monticola","1"
"58","Canna indica","2"
"59","Cardiocrinum cordatum","2"
"60","Carica papaya","1"
"61","Caryocar brasiliense","2"
"62","Catalpa speciosa","2"
"63","Catharanthus roseus","2"
"64","Caulophyllum thalictroides","2"
"65","Centroplacus glaucinus","1"
"66","Ceratophyllum demersum","1"
"67","Cercidiphyllum japonicum","1"
"68","Chimaphila umbellata","2"
"69","Chimonanthus praecox","2"
"70","Chorispora tenella","2"
"71","Cinnamomum camphora","2"
"72","Clarkia xantiana","2"
"73","Claytonia virginica","2"
"74","Clethra alnifolia","2"
"75","Clutia pulchella","1"
"76","Cobaea scandens","2"
"77","Cochlospermum vitifolium","2"
"78","Coffea arabica","2"
"79","Combretum leprosum","2"
"80","Commelina communis","2"
"81","Cordyline australis","2"
"82","Coriaria myrtifolia","2"
"83","Coriaria ruscifolia","2"
"84","Cornus florida","2"
"85","Corrigiola litoralis","2"
"86","Cucurbita pepo","2"
"87","Cupaniopsis anacardioides","1"
"88","Curculigo latifolia","2"
"89","Cuscuta cuspidata","2"
"90","Cuttsia viburnea","2"
"91","Cyclanthus bipartitus","2"
"92","Cymodocea nodosa","1"
"93","Cypripedium calceolus","2"
"94","Cyrilla racemiflora","2"
"95","Dalechampia spathulata","1"
"96","Dalzellia ceylanica","2"
"97","Daphniphyllum macropodum","1"
"98","Datisca glomerata","1"
"99","Davilla kunthii","2"
"100","Denhamia celastroides","2"
"101","Diapensia lapponica","2"
"102","Diospyros australis","1"
"103","Dipterocarpus tempehes","2"
"104","Discaria americana","2"
"105","Drosophyllum lusitanicum","2"
"106","Dryas octopetala","2"
"107","Durio zibethinus","2"
"108","Eichhornia crassipes","2"
"109","Eriocaulon parkeri","2"
"110","Eriogonum arborescens","2"
"111","Eschscholzia californica","2"
"112","Eupomatia bennettii","2"
"113","Eupomatia laurina","2"
"114","Fagus grandifolia","1"
"115","Ficaria verna","2"
"116","Filipendula vulgaris","2"
"117","Floerkea proserpinacoides","2"
"118","Galium aparine","2"
"119","Gentiana saponaria","2"
"120","Geranium sanguineum","2"
"121","Gomortega keule","2"
"122","Gonocaryum litorale","1"
"123","Gossypium hirsutum","2"
"124","Grewia occidentalis","2"
"125","Griselinia racemosa","1"
"126","Gyrocarpus americanus","2"
"127","Hamamelis virginiana","2"
"128","Hanguana malayana","1"
"129","Hedychium gardnerianum","2"
"130","Helianthus annuus","2"
"131","Heliconia irrasa","2"
"132","Herniaria glabra","2"
"133","Hevea brasiliensis","2"
"134","Hirtella physophora","2"
"135","Hordeum bulbosum","2"
"136","Hydnocarpus heterophylla","1"
"137","Hydrastis canadensis","2"
"138","Hydrocotyle vulgaris","2"
"139","Hydrophyllum capitatum","2"
"140","Hypericum perforatum","2"
"141","Ilex opaca","1"
"142","Impatiens capensis","2"
"143","Ipomoea alba","2"
"144","Iris versicolor","2"
"145","Irvingbaileya australis","1"
"146","Juglans mandshurica","1"
"147","Juncus effusus","2"
"148","Kalanchoe daigremontiana","2"
"149","Kalmia latifolia","2"
"150","Kirengeshoma palmata","2"
"151","Kirkia wilmsii","1"
"152","Lactoris fernandeziana","2"
"153","Lantana camara","2"
"154","Lapageria rosea","2"
"155","Larrea tridentata","2"
"156","Lemna minor","2"
"157","Lepidobotrys staudtii","1"
"158","Limnanthes douglasii","2"
"159","Linum perenne","2"
"160","Liriodendron chinense","2"
"161","Loasa heterophylla","2"
"162","Lobelia angulata","1"
"163","Ludwigia adscendens","2"
"164","Lythrum salicaria","2"
"165","Malesherbia linearifolia","2"
"166","Malpighia emarginata","2"
"167","Manihot esculenta","2"
"168","Manilkara zapota","2"
"169","Marathrum rubrum","2"
"170","Mayaca fluviatilis","2"
"171","Mazus pumilus","2"
"172","Medicago sativa","2"
"173","Melocactus curvispinus","2"
"174","Menispermum canadense","1"
"175","Menyanthes trifoliata","2"
"176","Miconia affinis","1"
"177","Mirabilis jalapa","2"
"178","Misodendrum linearifolium","1"
"179","Mollugo verticillata","2"
"180","Monotropa hypopitys","2"
"181","Montinia caryophyllacea","1"
"182","Moringa oleifera","2"
"183","Myriophyllum sibiricum","2"
"184","Myristica fragrans","1"
"185","Myrothamnus moschata","1"
"186","Myrtus communis","2"
"187","Narthecium ossifragum","2"
"188","Nelumbo lutea","2"
"189","Nelumbo nucifera","2"
"190","Nemesia strumosa","2"
"191","Nepenthes macfarlanei","1"
"192","Nicotiana tabacum","2"
"193","Nolana humifusa","2"
"194","Nothofagus dombeyi","1"
"195","Nuphar advena","2"
"196","Nymphaea odorata","2"
"197","Nymphoides peltata","2"
"198","Nyssa ogeche","1"
"199","Ochroma pyramidale","2"
"200","Octoknema borealis","1"
"201","Octomeles sumatrana","1"
"202","Olea europaea","2"
"203","Oryza sativa","2"
"204","Ottelia acuminata","1"
"205","Oxalis corniculata","2"
"206","Paeonia californica","2"
"207","Panax quinquefolius","2"
"208","Pandanus tectorius","1"
"209","Pennantia corymbosa","1"
"210","Peritoma arborea","2"
"211","Perrottetia ovata","1"
"212","Petunia axillaris","2"
"213","Peumus boldus","1"
"214","Phelline comosa","1"
"215","Phoenix dactylifera","1"
"216","Phragmites australis","2"
"217","Phryma leptostachya","2"
"218","Phyllanthus niruri","2"
"219","Physena madagascariensis","1"
"220","Picramnia polyantha","1"
"221","Piper amalago","2"
"222","Pittosporum dasycaulon","1"
"223","Plantago lanceolata","1"
"224","Platea latifolia","1"
"225","Plocosperma buxifolium","1"
"226","Plumbago auriculata","2"
"227","Podophyllum peltatum","2"
"228","Poeppigia procera","2"
"229","Polycarpon tetraphyllum","2"
"230","Polygala lewtonii","2"
"231","Populus alba","1"
"232","Portulaca oleracea","2"
"233","Posidonia australis","2"
"234","Posoqueria latifolia","2"
"235","Potamogeton berchtoldii","1"
"236","Primula sieboldii","2"
"237","Prionotes cerinthoides","2"
"238","Prunus persica","2"
"239","Putranjiva roxburghii","1"
"240","Qualea grandiflora","2"
"241","Quercus rubra","1"
"242","Quinchamalium chilense","2"
"243","Rafflesia keithii","1"
"244","Ranunculus acris","2"
"245","Ravenala madagascariensis","2"
"246","Rhizophora stylosa","2"
"247","Ribes aureum","2"
"248","Roridula dentata","2"
"249","Roridula gorgonias","2"
"250","Roupala montana","2"
"251","Ruta graveolens","2"
"252","Sagina procumbens","2"
"253","Sagittaria latifolia","1"
"254","Salpiglossis sinuata","2"
"255","Sarracenia purpurea","2"
"256","Sauvagesia rhodoleuca","2"
"257","Saxifraga cernua","2"
"258","Schinus molle","1"
"259","Schisandra chinensis","2"
"260","Schizanthus grahamii","2"
"261","Scleranthus annuus","2"
"262","Sesamum indicum","2"
"263","Sextonia rubra","2"
"264","Silene vulgaris","2"
"265","Simmondsia chinensis","1"
"266","Sinojackia xylocarpa","2"
"267","Solanum dulcamara","2"
"268","Spergularia marina","2"
"269","Spiranthes cernua","2"
"270","Spondias tuberosa","2"
"271","Staphylea trifolia","2"
"272","Stellaria media","2"
"273","Sterculia apetala","2"
"274","Stylidium graminifolium","2"
"275","Swietenia macrophylla","2"
"276","Syringa vulgaris","2"
"277","Tacca chantrieri","2"
"278","Tacca leontopetaloides","2"
"279","Talinum paniculatum","2"
"280","Tectona grandis","2"
"281","Tetracentron sinense","2"
"282","Tetroncium magellanicum","1"
"283","Thalictrum minus","2"
"284","Theobroma cacao","2"
"285","Thymelaea hirsuta","1"
"286","Titanotrichum oldhamii","2"
"287","Trachelium caeruleum","2"
"288","Tragopogon dubius","2"
"289","Tribulus terrestris","2"
"290","Trichilia emetica","1"
"291","Trillium erectum","2"
"292","Trochocarpa laurina","2"
"293","Tropaeolum majus","2"
"294","Tropaeolum tricolor","2"
"295","Turnera ulmifolia","2"
"296","Typha latifolia","2"
"297","Urtica dioica","1"
"298","Vaccinium uliginosum","2"
"299","Valeriana officinalis","2"
"300","Verbascum thapsus","2"
"301","Veronica anagallisaquatica","2"
"302","Viburnum rufidulum","2"
"303","Viola pubescens","2"
"304","Viviania marifolia","2"
"305","Vriesea carinata","2"
"306","Warburgia ugandensis","2"
"307","Wurmbea biglandulosa","2"
"308","Xanthosoma sagittifolium","2"
"309","Ximenia americana","2"
"310","Zea mays","1"
"311","Zelkova serrata","2"
"312","Zostera marina","2"
